Iteration	Posterior	Likelihood	Prior	alpha_g	epsilon	extinction	gamma_cats[1]	gamma_cats[2]	gamma_cats[3]	gamma_cats[4]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu[11]	mu[12]	mu[13]	mu[14]	mu[15]	mu[16]	mu[17]	mu[18]	mu[19]	mu[20]	mu[21]	mu[22]	mu[23]	mu[24]	mu[25]	mu[26]	mu[27]	mu[28]	mu[29]	mu[30]	mu[31]	mu[32]	mu[33]	mu[34]	mu[35]	mu[36]	mu[37]	mu[38]	mu[39]	mu[40]	mu[41]	mu[42]	mu[43]	mu[44]	mu[45]	mu[46]	mu[47]	mu[48]	mu[49]	mu[50]	mu[51]	mu[52]	mu[53]	mu[54]	mu[55]	mu[56]	mu[57]	mu[58]	mu[59]	mu[60]	mu[61]	mu[62]	pi[1]	pi[2]	pi[3]	pi[4]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	speciation
4520	-30343.8	-30382.6	38.7583	0.209683	0.0257697	0.162388	0.00073065	0.0395415	0.408453	3.55128	0.213043	0.22125	0.104589	0.0726065	0.0919955	0.144067	0.0914283	0.103667	0.0983169	0.0760063	0.099941	0.119989	0.113792	0.0455807	0.0675432	0.118384	0.147887	0.0837649	0.0708719	0.0864714	0.0989401	0.112649	0.123429	0.0938311	0.0940285	0.0868946	0.147704	0.0965507	0.359389	0.11321	0.129198	0.184965	0.103047	0.062549	0.140934	0.0735749	0.0870467	0.0805922	0.0770612	0.0247978	0.153764	0.18483	0.0480886	0.0534108	0.145985	0.0916079	0.0737395	0.0937561	0.110396	0.119377	0.0872872	0.148988	0.0673934	0.101336	0.20367	0.0740379	0.160148	0.0839607	0.0579842	0.111446	0.0342258	0.0590661	0.243332	0.186108	0.25424	0.31632	0.0348069	0.263979	0.340839	0.0153085	0.314819	0.0302469	6.30148
4530	-30362.8	-30392.6	29.8651	0.200495	0.0525841	0.383912	0.000540329	0.0340614	0.384948	3.58045	0.242633	0.240074	0.119012	0.0677874	0.0837931	0.130006	0.112012	0.0813355	0.0820756	0.0609182	0.10691	0.153608	0.0885893	0.0471718	0.0675201	0.134859	0.141573	0.0879758	0.0670325	0.100294	0.0957547	0.102362	0.109218	0.0893873	0.129881	0.0750622	0.125753	0.110619	0.396362	0.0984214	0.123527	0.178578	0.0885612	0.0500529	0.150981	0.0382173	0.0929279	0.0843371	0.0729675	0.0173319	0.121427	0.154064	0.117794	0.0683898	0.0972714	0.263122	0.0626963	0.0967629	0.177239	0.101494	0.0680115	0.147	0.0769137	0.110579	0.149515	0.161626	0.158379	0.0865217	0.0347566	0.0517257	0.0983043	0.063132	0.24905	0.184126	0.244526	0.322298	0.034269	0.263078	0.339676	0.0152562	0.313744	0.0339769	7.30091
4540	-30361.7	-30399.6	37.8782	0.204979	0.0820784	0.583565	0.000628182	0.0366962	0.396526	3.56615	0.240319	0.208941	0.0858566	0.0814563	0.103343	0.142729	0.104729	0.107997	0.114582	0.0745303	0.0943569	0.125715	0.126998	0.0480123	0.0546739	0.104588	0.127468	0.061028	0.082811	0.10535	0.0960927	0.108187	0.11748	0.0672931	0.121979	0.0891173	0.104847	0.102674	0.383222	0.112313	0.10993	0.15486	0.0680094	0.0611687	0.198401	0.11647	0.0179618	0.0705782	0.083575	0.0281479	0.113184	0.149044	0.0973547	0.0517144	0.101424	0.154073	0.05724	0.0933199	0.128742	0.133082	0.0784481	0.125245	0.0891774	0.097405	0.0749512	0.154682	0.101972	0.0756861	0.0631849	0.0430825	0.0592888	0.106731	0.247853	0.188048	0.243351	0.320749	0.030691	0.262809	0.341189	0.0163543	0.315142	0.0338153	7.10984
4550	-30361.5	-30392.5	30.9843	0.205845	0.113067	0.742909	0.00064624	0.0372139	0.398739	3.5634	0.23269	0.226484	0.131905	0.0732923	0.0913873	0.148876	0.0978926	0.0940312	0.0874404	0.0910187	0.114465	0.120331	0.102425	0.059581	0.0608442	0.147038	0.129404	0.0968673	0.105099	0.097571	0.0918721	0.0888091	0.121097	0.150723	0.151346	0.0706883	0.142483	0.101819	0.369332	0.10576	0.116096	0.181733	0.0664134	0.023846	0.0721001	0.0580423	0.0660837	0.0727363	0.119644	0.0184513	0.0949443	0.248626	0.0598094	0.0738233	0.123572	0.135565	0.0443899	0.0882403	0.224491	0.0861433	0.0654952	0.151842	0.0637897	0.110098	0.0740202	0.137464	0.178401	0.121074	0.0409917	0.112205	0.103943	0.113529	0.251698	0.190238	0.247126	0.310939	0.0307569	0.263373	0.341921	0.0142417	0.315819	0.0338879	6.57054
4560	-30373.8	-30411.7	37.9135	0.211511	0.0209674	0.119281	0.000773439	0.0406689	0.413027	3.54553	0.240279	0.175079	0.085343	0.0956827	0.112108	0.155903	0.115637	0.147822	0.0906212	0.126674	0.133647	0.145917	0.111315	0.0545631	0.0713706	0.143108	0.127984	0.0809466	0.12798	0.108887	0.0975502	0.107042	0.113496	0.0970878	0.146259	0.0797392	0.132234	0.117568	0.378984	0.125007	0.11585	0.149371	0.0469481	0.0805519	0.119785	0.103088	0.06251	0.0363692	0.149874	0.0397463	0.104487	0.17664	0.0723552	0.105662	0.0629278	0.100468	0.0380952	0.0761874	0.109599	0.0966105	0.0903177	0.123835	0.0550958	0.174564	0.036469	0.08771	0.125794	0.100684	0.0737826	0.0534508	0.0526475	0.0833747	0.234968	0.192972	0.253342	0.318719	0.034391	0.261169	0.339059	0.0141225	0.313175	0.0380832	5.68886
4570	-30366	-30402.4	36.4533	0.207473	0.139493	0.912068	0.000681168	0.0381948	0.402878	3.55825	0.235484	0.13164	0.0994614	0.0630269	0.0879311	0.149664	0.0845573	0.101756	0.103266	0.064705	0.0929633	0.134041	0.196753	0.0481165	0.063409	0.151267	0.121974	0.0844046	0.0951664	0.0835612	0.11011	0.119452	0.112098	0.116004	0.12395	0.0774675	0.126739	0.0875059	0.348475	0.12584	0.109308	0.168745	0.0835916	0.067096	0.0791348	0.0729794	0.0502519	0.111759	0.0788692	0.0209176	0.217046	0.104383	0.0428361	0.090244	0.0585184	0.069446	0.0598355	0.0776937	0.238049	0.109316	0.0775353	0.094598	0.0546771	0.12613	0.0813048	0.0741278	0.127254	0.134457	0.181953	0.177746	0.0734837	0.0556683	0.23447	0.192563	0.252805	0.320162	0.0291351	0.263184	0.341676	0.0120359	0.315592	0.038377	6.53845
4580	-30359.8	-30395.6	35.7738	0.207297	0.105759	0.601538	0.000677338	0.0380885	0.402433	3.5588	0.232521	0.156301	0.126737	0.0702624	0.0816647	0.150621	0.0956942	0.115198	0.0984611	0.0680112	0.0842065	0.130979	0.132803	0.0650734	0.0621037	0.159434	0.122937	0.0878674	0.0985507	0.0822662	0.0977276	0.10794	0.124836	0.102203	0.151404	0.100832	0.149946	0.11919	0.360318	0.104756	0.106998	0.154235	0.0864741	0.0850236	0.103995	0.0966086	0.0299036	0.128654	0.156165	0.0357672	0.143989	0.157559	0.0729329	0.139015	0.0609471	0.0600307	0.0530677	0.0973556	0.113297	0.175739	0.0560998	0.0861528	0.0573467	0.0862754	0.165684	0.0615044	0.148556	0.0766408	0.111591	0.139889	0.162294	0.0430328	0.249232	0.188849	0.24793	0.313989	0.0307343	0.263181	0.341671	0.0119595	0.315588	0.0368668	5.68781
4590	-30361.8	-30395	33.1381	0.195184	0.0371041	0.216417	0.000447984	0.0310441	0.370972	3.59754	0.195837	0.163436	0.127942	0.0708721	0.0841	0.144379	0.106177	0.149339	0.110298	0.0773722	0.0957559	0.0981317	0.0963668	0.0613259	0.0621951	0.143391	0.10929	0.0775452	0.092128	0.0906509	0.0998263	0.105136	0.127498	0.125719	0.0991768	0.0772948	0.140207	0.104049	0.375973	0.116196	0.122165	0.169876	0.100992	0.0957599	0.131345	0.0338396	0.0310927	0.101672	0.107941	0.0215067	0.16499	0.146102	0.0485055	0.232847	0.0723548	0.0518255	0.0694809	0.0889869	0.0663654	0.180173	0.101841	0.0892326	0.03164	0.116033	0.151779	0.205752	0.089809	0.0837871	0.192844	0.0945208	0.0294146	0.0434383	0.252514	0.191337	0.238025	0.318124	0.0305036	0.261205	0.339106	0.0156553	0.31694	0.03659	5.8327
4600	-30355.4	-30399.5	44.1591	0.206281	0.0282479	0.172501	0.000655476	0.0374759	0.399851	3.56202	0.221044	0.150233	0.132122	0.0694861	0.103727	0.148576	0.0900633	0.097705	0.0962924	0.0736743	0.0749926	0.0844227	0.104457	0.0523662	0.0726671	0.11245	0.115372	0.0757849	0.0852415	0.0706662	0.0815216	0.0937934	0.107861	0.0971953	0.0943393	0.0753098	0.124548	0.0905975	0.324764	0.0902554	0.127539	0.222555	0.0714025	0.0689318	0.123285	0.142246	0.0548589	0.0382355	0.0746314	0.0407829	0.119686	0.148597	0.0700962	0.0506037	0.0694084	0.102661	0.076981	0.0854288	0.139079	0.152853	0.0994905	0.0712942	0.0427164	0.234066	0.0840468	0.119311	0.144843	0.0995075	0.0582952	0.0648229	0.0670886	0.107209	0.252514	0.191337	0.238025	0.318124	0.0268875	0.261838	0.339928	0.0169611	0.317707	0.0366786	6.10669
4610	-30350.4	-30388.6	38.2332	0.213739	0.295381	2.15398	0.00082789	0.0420584	0.418555	3.53856	0.208059	0.166408	0.12326	0.0640789	0.0935532	0.162948	0.118804	0.107153	0.110447	0.0707302	0.071127	0.119169	0.0877	0.0556464	0.0674928	0.113784	0.126851	0.071307	0.0993592	0.0848463	0.1096	0.101498	0.110634	0.0744846	0.122709	0.0782546	0.124314	0.102855	0.378177	0.114869	0.124183	0.154455	0.0744718	0.104054	0.133483	0.0512384	0.0946312	0.0305652	0.160001	0.036425	0.0767412	0.110913	0.0575199	0.108732	0.0615261	0.0536439	0.0889679	0.102301	0.15619	0.11213	0.0802904	0.0780368	0.0409173	0.0983971	0.105713	0.0820074	0.18512	0.241082	0.0615748	0.0804595	0.10752	0.143624	0.252514	0.191337	0.238025	0.318124	0.0268875	0.261838	0.339928	0.0169611	0.317707	0.0366786	7.29219
4620	-30360.3	-30396.4	36.0459	0.203279	0.36315	2.79875	0.000593772	0.0356881	0.392161	3.57156	0.173348	0.130528	0.12091	0.0769674	0.11334	0.139371	0.0846285	0.105593	0.105306	0.0547832	0.0847189	0.10505	0.105255	0.054581	0.0654757	0.106553	0.113942	0.0789393	0.122452	0.0693784	0.0885248	0.0876232	0.130108	0.0841522	0.122717	0.0734734	0.11897	0.100893	0.354388	0.118207	0.109439	0.169948	0.0659123	0.097578	0.190367	0.0595016	0.0844065	0.081723	0.10873	0.0508229	0.118812	0.114838	0.0624372	0.323833	0.0626199	0.0636418	0.177979	0.0962774	0.0902232	0.151303	0.0797262	0.0961645	0.0482613	0.107404	0.119301	0.0674945	0.109124	0.0888738	0.0523118	0.0770896	0.256763	0.117757	0.252514	0.191337	0.238025	0.318124	0.0308	0.262651	0.340984	0.015334	0.318694	0.0315368	7.70687
4630	-30353.3	-30384.9	31.6246	0.206577	0.339313	3.12873	0.000661781	0.0376536	0.400603	3.56108	0.216501	0.143069	0.111625	0.0681581	0.0801466	0.144558	0.0820571	0.143857	0.118096	0.0622116	0.0646997	0.102947	0.0916793	0.0549932	0.0606357	0.089187	0.124064	0.0753002	0.0980545	0.0740828	0.0902059	0.100322	0.135972	0.0831431	0.0959997	0.0931068	0.128036	0.110134	0.402119	0.111916	0.104561	0.155523	0.0888809	0.0370643	0.162855	0.0948857	0.107673	0.0244206	0.0766821	0.0550615	0.125479	0.197135	0.118605	0.0778441	0.0773646	0.0918255	0.137254	0.138312	0.140787	0.14422	0.068539	0.119884	0.0709529	0.171663	0.15936	0.0542499	0.0740622	0.0624801	0.0750342	0.196993	0.0153086	0.124721	0.248819	0.192283	0.239202	0.319697	0.0378302	0.261222	0.339128	0.0155674	0.316959	0.0292937	9.22077
4640	-30357.3	-30390.8	33.4693	0.209924	0.363151	2.80344	0.000736203	0.0396897	0.409059	3.55052	0.22275	0.123602	0.092997	0.0665006	0.0880944	0.181154	0.0753975	0.110937	0.129031	0.061481	0.0848549	0.143976	0.0585909	0.0574002	0.0571976	0.119673	0.11287	0.0725595	0.108309	0.0858907	0.0902992	0.103802	0.120686	0.121451	0.136766	0.0755183	0.12976	0.104902	0.422327	0.105631	0.124772	0.142355	0.0964556	0.0709117	0.138935	0.156086	0.0735233	0.0174653	0.0624032	0.0601939	0.115324	0.226279	0.14933	0.129176	0.068032	0.141138	0.114927	0.103114	0.0990444	0.0927848	0.100036	0.221153	0.0614778	0.0604186	0.103793	0.107023	0.0533614	0.0371088	0.0592564	0.0948437	0.145159	0.0835733	0.248819	0.192283	0.239202	0.319697	0.0319162	0.261028	0.338877	0.0155559	0.316725	0.0358984	7.71979
4650	-30355.8	-30390.2	34.425	0.208536	0.349457	2.6148	0.000704672	0.0388405	0.405566	3.55489	0.238723	0.154565	0.090545	0.0784966	0.105308	0.168648	0.0700128	0.119344	0.0954961	0.0605114	0.0690644	0.12718	0.0833427	0.0554325	0.0613413	0.120163	0.133623	0.0741936	0.0940523	0.09257	0.0898047	0.110664	0.136463	0.102175	0.0723594	0.0798515	0.150357	0.0990946	0.354975	0.119729	0.113352	0.170257	0.0619922	0.145598	0.0912488	0.119433	0.0642951	0.0103744	0.021829	0.036253	0.0866821	0.124554	0.067926	0.191175	0.0537523	0.196517	0.143224	0.121652	0.11725	0.0839739	0.0568011	0.16142	0.0660811	0.13271	0.0915954	0.10583	0.072226	0.0514336	0.0930509	0.0784194	0.0604135	0.109579	0.248819	0.192283	0.239202	0.319697	0.0341239	0.242108	0.349259	0.0110826	0.326428	0.0369983	7.48248
4660	-30367.5	-30400.8	33.3323	0.212551	0.269008	1.93101	0.000798545	0.0413155	0.415615	3.54227	0.23108	0.132515	0.0937425	0.0715695	0.0987495	0.170218	0.0911912	0.130702	0.0953139	0.0556795	0.0813094	0.0783532	0.129525	0.0466775	0.0700066	0.126163	0.152471	0.0731272	0.0796063	0.0881126	0.0960994	0.108869	0.126142	0.0910022	0.0911659	0.0735408	0.13053	0.118152	0.37291	0.116966	0.0880828	0.149636	0.122781	0.0949367	0.401687	0.0678911	0.0368439	0.0313461	0.0545172	0.0406071	0.0870128	0.17517	0.0528342	0.104285	0.0484014	0.0748584	0.0865247	0.135508	0.218403	0.107467	0.0713147	0.148667	0.0627179	0.0648952	0.08285	0.0847563	0.104004	0.0616609	0.0781717	0.111712	0.0376711	0.122332	0.261085	0.19515	0.250993	0.292771	0.033785	0.239703	0.34579	0.0109726	0.323186	0.0465631	7.17826
4670	-30373.4	-30407.8	34.4509	0.215035	0.0431573	0.235841	0.000860745	0.0428742	0.421747	3.53452	0.258524	0.15347	0.10528	0.0701985	0.113411	0.168649	0.0937876	0.146881	0.105077	0.0647554	0.0816505	0.106049	0.114587	0.0632122	0.0768495	0.113214	0.130605	0.0914301	0.0701255	0.0953791	0.106674	0.111061	0.140441	0.100919	0.139541	0.0734859	0.148	0.129586	0.391554	0.129841	0.124897	0.150484	0.0952863	0.0538074	0.155075	0.150139	0.0678862	0.0165549	0.117733	0.075101	0.107458	0.0796857	0.056686	0.121192	0.0794701	0.105218	0.106821	0.133894	0.0759621	0.153023	0.0738379	0.114467	0.0630904	0.102403	0.0523533	0.244748	0.17717	0.0792893	0.0662173	0.119791	0.102043	0.156842	0.263924	0.197272	0.242849	0.295955	0.0300249	0.23482	0.349754	0.0114117	0.326892	0.047097	5.46468
4680	-30355.1	-30396.3	41.1947	0.209782	0.112843	0.739501	0.000732942	0.0396027	0.408703	3.55096	0.211583	0.133208	0.121382	0.0560401	0.106813	0.164119	0.0928241	0.0940998	0.0904585	0.0858347	0.0766201	0.101653	0.105276	0.0618179	0.0741525	0.109818	0.100727	0.114218	0.0984122	0.0846883	0.0738565	0.0897362	0.113403	0.0807476	0.111192	0.0965041	0.156911	0.107791	0.369133	0.1193	0.105361	0.128295	0.0735707	0.0879818	0.0755449	0.0396502	0.112135	0.010176	0.0844826	0.0331427	0.102134	0.152955	0.105326	0.123548	0.0891621	0.0534964	0.186533	0.117218	0.0885588	0.0903119	0.0993935	0.128969	0.06593	0.144874	0.0525979	0.203134	0.136961	0.0831655	0.123426	0.0592164	0.0785154	0.100441	0.260301	0.194564	0.239515	0.30562	0.031414	0.255176	0.343608	0.0139779	0.321146	0.0346782	6.55336
4690	-30338	-30382.9	44.8991	0.207728	0.0108148	0.0746414	0.000686754	0.0383493	0.403524	3.55744	0.227512	0.136954	0.106317	0.0580313	0.0991832	0.156036	0.0884181	0.0950327	0.113909	0.0813018	0.0793006	0.0854411	0.083799	0.0669783	0.0769479	0.100821	0.118873	0.0932852	0.0634455	0.0829239	0.0900581	0.096661	0.126922	0.0876276	0.127361	0.0947158	0.189352	0.111558	0.380715	0.126409	0.111797	0.150484	0.107462	0.129669	0.0865133	0.0599804	0.0756725	0.0207458	0.132402	0.116516	0.10412	0.166655	0.0785936	0.104097	0.0725003	0.0501713	0.14649	0.0931406	0.071343	0.0888737	0.0906578	0.0881302	0.050009	0.121392	0.0736765	0.129315	0.0704376	0.12062	0.119162	0.077254	0.0466662	0.0761938	0.254996	0.192673	0.237188	0.315143	0.0318522	0.244788	0.3484	0.0141729	0.325626	0.0351619	6.90179
4700	-30361.6	-30399.6	38.0208	0.210203	0.0616886	0.370743	0.000742661	0.0398613	0.409759	3.54964	0.266369	0.169891	0.126418	0.0584707	0.0903505	0.188411	0.104441	0.0743483	0.1052	0.0734969	0.082726	0.11411	0.0915439	0.0737259	0.0694183	0.109701	0.111467	0.0825001	0.0756074	0.0859462	0.112614	0.122851	0.127062	0.109999	0.111274	0.0766996	0.137952	0.111792	0.341781	0.111848	0.120198	0.133621	0.0794749	0.0362599	0.0925199	0.0826584	0.0686349	0.0267639	0.0372165	0.0511778	0.14841	0.0970252	0.135132	0.179046	0.0661205	0.0466095	0.242376	0.0821033	0.107691	0.108241	0.131082	0.0830425	0.0716186	0.148139	0.0601403	0.0944511	0.102127	0.228593	0.0596612	0.0314307	0.0447782	0.0924196	0.251476	0.190014	0.247716	0.310793	0.0284537	0.245785	0.349819	0.0154604	0.326952	0.0335294	6.00991
4710	-30361	-30393.2	32.1757	0.214174	0.148486	1.16705	0.000838835	0.042332	0.41963	3.5372	0.246207	0.169553	0.0834144	0.0628315	0.141218	0.177622	0.103086	0.0681213	0.113122	0.0802673	0.100034	0.0705247	0.117019	0.0683396	0.0729273	0.131015	0.104015	0.091294	0.0571291	0.0849626	0.0891318	0.120037	0.118315	0.0905779	0.142432	0.0743814	0.141731	0.103825	0.40172	0.121102	0.112343	0.186044	0.0718437	0.0975189	0.143443	0.0862692	0.0685187	0.0281374	0.107396	0.0234229	0.111849	0.103389	0.0337567	0.205713	0.119348	0.0971224	0.148164	0.0830155	0.123198	0.0891372	0.0888683	0.0677583	0.0607424	0.143808	0.041295	0.157477	0.0655582	0.129718	0.0660194	0.0712094	0.0513999	0.0118071	0.254837	0.190693	0.247069	0.307401	0.0342727	0.244301	0.347707	0.0154136	0.324978	0.033327	7.85967
4720	-30357	-30386.9	29.9828	0.209035	0.0319335	0.182293	0.00071589	0.0391448	0.406823	3.55332	0.220699	0.183696	0.138849	0.071693	0.0790534	0.154259	0.0882984	0.0879989	0.111098	0.0774552	0.100817	0.102175	0.0920154	0.0554482	0.0785611	0.132702	0.0967436	0.0786658	0.055797	0.0954681	0.102128	0.110703	0.14972	0.114894	0.119118	0.0778461	0.13049	0.120139	0.355978	0.118512	0.114945	0.152227	0.0583603	0.286059	0.172566	0.0560682	0.215412	0.0285807	0.104464	0.0432566	0.245923	0.144634	0.0802958	0.202688	0.102351	0.0704989	0.0829915	0.0928938	0.202106	0.0890408	0.11089	0.109499	0.0642874	0.188925	0.0828112	0.128374	0.0370033	0.08178	0.14738	0.0595496	0.0444392	0.0753156	0.25502	0.18404	0.247247	0.313693	0.0345321	0.244513	0.348009	0.0154269	0.32526	0.032259	5.7085
4730	-30342.9	-30386.5	43.548	0.204219	0.00176632	0.0103574	0.000612641	0.0362445	0.39458	3.56856	0.221332	0.146129	0.136764	0.0664543	0.103298	0.150845	0.0849253	0.065004	0.108725	0.0881424	0.0795923	0.111641	0.118631	0.0653888	0.0666578	0.147049	0.124646	0.0782472	0.0636176	0.0881313	0.0880822	0.107384	0.136643	0.0974548	0.133025	0.08564	0.137733	0.101576	0.412338	0.117732	0.117088	0.142164	0.0656454	0.0585479	0.1139	0.101832	0.062222	0.055352	0.152848	0.0357327	0.090545	0.12539	0.0542813	0.12233	0.0644697	0.0972146	0.11691	0.0777785	0.203608	0.0929809	0.132358	0.0711443	0.0727811	0.125642	0.0833185	0.0844224	0.109629	0.148061	0.140686	0.0611654	0.0560685	0.0805874	0.255309	0.183969	0.247151	0.313571	0.0343688	0.243357	0.346363	0.015354	0.323722	0.0368358	5.86382
4740	-30366.3	-30407.5	41.2627	0.204219	0.0194316	0.117897	0.000612641	0.0362445	0.39458	3.56856	0.196044	0.17158	0.133977	0.0785586	0.0839735	0.154997	0.1106	0.0541453	0.0927742	0.0620402	0.0706026	0.0994733	0.126002	0.0537378	0.0588639	0.119945	0.129185	0.0637002	0.0503029	0.0710494	0.0973808	0.105334	0.112588	0.094992	0.12999	0.097059	0.127846	0.0920963	0.359065	0.114471	0.111762	0.163618	0.166331	0.0412855	0.10519	0.0683868	0.0703152	0.0300658	0.0778554	0.0408659	0.167356	0.105537	0.0629657	0.150165	0.0474653	0.0804018	0.0925184	0.100819	0.126166	0.0962353	0.114605	0.090945	0.115544	0.0725221	0.11495	0.177958	0.16326	0.142583	0.106334	0.0849265	0.100189	0.177691	0.255309	0.183969	0.247151	0.313571	0.0343869	0.243485	0.346546	0.0148353	0.323892	0.0368552	6.06729
4750	-30361.6	-30394.9	33.2984	0.20321	0.149652	0.951573	0.000592412	0.0356477	0.391984	3.57178	0.197929	0.182063	0.115852	0.0830312	0.111328	0.186971	0.0990332	0.0652181	0.117718	0.0778187	0.108906	0.104521	0.108412	0.0665555	0.059204	0.151297	0.110109	0.101089	0.0452888	0.0890054	0.0918959	0.119257	0.121209	0.112292	0.095077	0.101935	0.134682	0.0996959	0.382499	0.112381	0.133853	0.143278	0.0692134	0.200725	0.115899	0.0611996	0.0219324	0.0346264	0.122126	0.0255248	0.267632	0.078176	0.169071	0.084425	0.0830984	0.0775025	0.0846253	0.0874063	0.119091	0.109372	0.119522	0.108351	0.12845	0.0857668	0.102001	0.0555898	0.229967	0.0797927	0.0428094	0.108769	0.124099	0.0935392	0.255309	0.183969	0.247151	0.313571	0.0330687	0.234151	0.333261	0.0142666	0.349692	0.0355614	6.35859
4760	-30356.3	-30398.8	42.4604	0.208982	0.0511178	0.313979	0.000714699	0.0391126	0.406691	3.55348	0.252213	0.145167	0.109865	0.0644736	0.0860485	0.160426	0.0995987	0.0529307	0.111759	0.0741454	0.112825	0.104193	0.145568	0.0666908	0.078146	0.14575	0.134494	0.105986	0.0513244	0.0879953	0.0964323	0.112214	0.123765	0.107494	0.112718	0.0849442	0.150516	0.107402	0.371063	0.140965	0.113263	0.151776	0.107127	0.0604257	0.13352	0.119083	0.0408312	0.0534014	0.183987	0.0373513	0.0847153	0.0586936	0.0768523	0.148781	0.0878995	0.0906026	0.0843547	0.0809732	0.0963507	0.0959296	0.112855	0.0891788	0.14057	0.0683177	0.0640226	0.107022	0.207619	0.100146	0.116176	0.0823042	0.0514016	0.078519	0.258645	0.186372	0.237316	0.317667	0.0234583	0.235962	0.335838	0.0196855	0.352397	0.0326597	6.14227
4770	-30350.4	-30395	44.5689	0.212975	0.0662914	0.422945	0.000808935	0.0415801	0.416666	3.54095	0.211211	0.116978	0.0840335	0.059921	0.0917444	0.139081	0.0829412	0.0528585	0.0984666	0.0980563	0.086772	0.09374	0.119159	0.0625909	0.0758966	0.138462	0.11241	0.0962976	0.0402493	0.0732928	0.091056	0.110205	0.0973153	0.100276	0.0870212	0.0991176	0.141243	0.109227	0.357003	0.126456	0.116297	0.142043	0.0727251	0.0536535	0.0768353	0.0497154	0.0302654	0.0401809	0.0733287	0.125919	0.0985474	0.0812604	0.0310912	0.152068	0.0619119	0.0689858	0.0606133	0.0880893	0.123219	0.16369	0.0829432	0.096997	0.109345	0.0757137	0.0932199	0.116863	0.228258	0.187454	0.0946643	0.0399695	0.108076	0.0276084	0.262124	0.192846	0.245559	0.299472	0.0234894	0.236274	0.336283	0.018217	0.352863	0.0328738	6.38009
4780	-30354.9	-30388.6	33.6959	0.198827	0.0805796	0.611947	0.000509995	0.0331015	0.38059	3.5858	0.245576	0.134185	0.103467	0.066014	0.128852	0.153019	0.0967205	0.0587841	0.111093	0.0856813	0.130695	0.0939181	0.155069	0.0493935	0.0705154	0.128688	0.0971702	0.0832616	0.0450019	0.0762306	0.0938153	0.110847	0.13918	0.123282	0.122203	0.0868387	0.177396	0.105557	0.47711	0.119709	0.135306	0.189819	0.0511001	0.0401803	0.122911	0.0702284	0.0403999	0.0714257	0.0661107	0.0563101	0.0800953	0.0703528	0.0467148	0.109351	0.0513363	0.0642245	0.0464257	0.0992299	0.157017	0.11787	0.101475	0.0914352	0.182769	0.0688073	0.174501	0.125415	0.142407	0.130336	0.0839271	0.0909365	0.0662497	0.0496543	0.251399	0.194438	0.247586	0.306577	0.0269189	0.234779	0.334155	0.0197793	0.35063	0.0337383	7.59431
4790	-30353.2	-30391.4	38.2213	0.215142	0.0565371	0.322352	0.000863511	0.0429422	0.422011	3.53418	0.209437	0.110427	0.102066	0.0795233	0.107059	0.158879	0.102108	0.0824502	0.119658	0.107514	0.117945	0.0960533	0.0937968	0.0463605	0.0711367	0.131958	0.0875041	0.0870652	0.0552323	0.109345	0.0815604	0.106912	0.139283	0.0910646	0.147437	0.0857017	0.144597	0.110212	0.431998	0.0981703	0.139664	0.18066	0.0749447	0.158642	0.10936	0.0740145	0.113903	0.0391853	0.115667	0.0886359	0.130178	0.0658577	0.109899	0.0832203	0.0557197	0.0449358	0.0283929	0.144194	0.10932	0.0772691	0.0738613	0.122775	0.118468	0.0669885	0.248677	0.0704372	0.114652	0.14146	0.0880192	0.0959479	0.0389814	0.0461385	0.253063	0.189104	0.249225	0.308607	0.0268701	0.234354	0.333549	0.0197434	0.349995	0.0354884	5.70161
4800	-30356.2	-30396.5	40.3346	0.208964	0.0261501	0.14589	0.000714284	0.0391014	0.406644	3.55354	0.216563	0.121621	0.0854149	0.0779134	0.113617	0.133737	0.0993464	0.0699223	0.138305	0.0974313	0.144191	0.105263	0.0960029	0.0748705	0.0732296	0.113349	0.111795	0.0970749	0.0541659	0.0957074	0.0974427	0.111806	0.12747	0.0958872	0.0918949	0.103191	0.152637	0.123904	0.376138	0.123388	0.116215	0.151861	0.0677208	0.139103	0.0926558	0.0543674	0.0966475	0.00910523	0.109457	0.0604577	0.0950259	0.0757677	0.0712414	0.134039	0.0665731	0.132742	0.0709957	0.0710002	0.118072	0.0961027	0.0726185	0.173005	0.131057	0.184381	0.0888481	0.173041	0.0882668	0.129933	0.0796664	0.109972	0.115111	0.0847776	0.256596	0.177785	0.252704	0.312915	0.0305386	0.223727	0.323993	0.0155783	0.371002	0.0351614	5.57895
