Iteration	Posterior	Likelihood	Prior	alpha_g	epsilon	extinction	gamma_cats[1]	gamma_cats[2]	gamma_cats[3]	gamma_cats[4]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu[11]	mu[12]	mu[13]	mu[14]	mu[15]	mu[16]	mu[17]	mu[18]	mu[19]	mu[20]	mu[21]	mu[22]	mu[23]	mu[24]	mu[25]	mu[26]	mu[27]	mu[28]	mu[29]	mu[30]	mu[31]	mu[32]	mu[33]	mu[34]	mu[35]	mu[36]	mu[37]	mu[38]	mu[39]	mu[40]	mu[41]	mu[42]	mu[43]	mu[44]	mu[45]	mu[46]	mu[47]	mu[48]	mu[49]	mu[50]	mu[51]	mu[52]	mu[53]	mu[54]	mu[55]	mu[56]	mu[57]	mu[58]	mu[59]	mu[60]	mu[61]	mu[62]	pi[1]	pi[2]	pi[3]	pi[4]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	speciation
100	-30351.7	-30387.3	35.6081	0.20729	0.289171	2.1655	0.000677187	0.0380843	0.402416	3.55882	0.234539	0.118428	0.113634	0.0819964	0.0937164	0.157582	0.0685771	0.0557632	0.142868	0.0821871	0.0949016	0.0689948	0.0743414	0.0719319	0.0741747	0.133192	0.145523	0.0935033	0.0392333	0.0833845	0.0936076	0.0994653	0.172646	0.0901533	0.0558534	0.0923199	0.14178	0.120946	0.411578	0.122281	0.12283	0.164867	0.0789464	0.181427	0.200446	0.129094	0.0432379	0.0526885	0.124316	0.0770747	0.0758209	0.0893192	0.0584364	0.117862	0.0834641	0.0578686	0.0610084	0.0600566	0.0769423	0.0741113	0.127725	0.0621655	0.0558849	0.023251	0.176242	0.0990563	0.0535099	0.0786858	0.192952	0.0983056	0.0368455	0.0175785	0.25531	0.194525	0.252555	0.29761	0.0238097	0.233313	0.364052	0.0168555	0.327832	0.0341386	7.48863
110	-30356.1	-30398	41.9505	0.205013	0.0563969	0.350566	0.000628893	0.0367167	0.396614	3.56604	0.230774	0.120101	0.141641	0.0647782	0.126596	0.195944	0.0776975	0.0620991	0.0994309	0.0823722	0.0942171	0.0605967	0.0535498	0.0676347	0.0650241	0.123999	0.127582	0.0935313	0.0413842	0.0711826	0.0933479	0.108667	0.139078	0.097679	0.0924857	0.0754649	0.197682	0.113893	0.416547	0.129226	0.110362	0.159652	0.0847608	0.124275	0.13593	0.0722262	0.058845	0.0292035	0.0907715	0.0645258	0.109418	0.0471366	0.0740986	0.120061	0.0667685	0.0436314	0.105713	0.0627203	0.128874	0.100441	0.175294	0.0443635	0.0638145	0.117164	0.0549329	0.0912191	0.0899255	0.0796372	0.0706812	0.0225655	0.0940964	0.0534944	0.257458	0.187747	0.254681	0.300114	0.0233449	0.239128	0.356945	0.0186197	0.321432	0.0405304	6.21605
120	-30350.4	-30397	46.6036	0.209376	0.0662556	0.402407	0.000723649	0.0393538	0.407683	3.55224	0.257131	0.111707	0.0741704	0.064806	0.0994107	0.177261	0.0703565	0.0522944	0.12661	0.0745949	0.0905	0.0694398	0.0770242	0.07037	0.0674206	0.12503	0.0886043	0.085297	0.046952	0.0867684	0.099039	0.115676	0.098056	0.093015	0.0729824	0.0934508	0.162483	0.109917	0.399529	0.114779	0.109243	0.126742	0.10078	0.0819254	0.105375	0.043545	0.0694346	0.0913118	0.0942716	0.076232	0.132686	0.0606977	0.181079	0.0839389	0.0733304	0.0562639	0.114792	0.0537138	0.16549	0.136766	0.110273	0.0957636	0.0577528	0.172015	0.0695496	0.0915048	0.0869418	0.104672	0.0920224	0.0803174	0.0825431	0.0321662	0.25784	0.188026	0.255058	0.299075	0.0275585	0.240196	0.35854	0.0187029	0.322868	0.0321339	6.07355
130	-30359.1	-30398.5	39.3701	0.201677	0.00369377	0.0223801	0.000562592	0.0347486	0.388021	3.57667	0.287013	0.13357	0.0572453	0.0688453	0.0914822	0.182499	0.0757449	0.0560866	0.118118	0.0717917	0.10043	0.0844873	0.064513	0.0796397	0.0702765	0.140338	0.0707648	0.114375	0.058802	0.0910186	0.106749	0.109917	0.145046	0.0842191	0.0937919	0.0931097	0.185943	0.112777	0.422346	0.11198	0.0992414	0.143931	0.0880106	0.0914047	0.0752847	0.0470572	0.0846156	0.0200066	0.0324901	0.0600558	0.109678	0.131816	0.0213375	0.133333	0.082814	0.0414948	0.14074	0.0719203	0.121857	0.102534	0.147352	0.092436	0.0717667	0.0678227	0.114972	0.223149	0.0891692	0.0632426	0.0645517	0.0814691	0.0828738	0.12936	0.253983	0.188384	0.256669	0.300964	0.0273577	0.238446	0.355928	0.0185666	0.327802	0.0318998	6.05887
140	-30338.1	-30383.8	45.7136	0.208312	0.0857999	0.506433	0.000699676	0.0387042	0.405001	3.55559	0.29297	0.105879	0.100194	0.0741708	0.0903052	0.162347	0.0766071	0.0583829	0.102387	0.0782409	0.0773972	0.0781459	0.107335	0.0716978	0.0658008	0.136589	0.102989	0.0960943	0.0367225	0.0840835	0.0957618	0.0964055	0.116145	0.0899353	0.0746193	0.0899276	0.158718	0.114952	0.418261	0.108628	0.121495	0.16279	0.100885	0.0460594	0.0639601	0.0902295	0.0821236	0.0538822	0.0507239	0.119792	0.119009	0.143889	0.101996	0.0719285	0.059275	0.0371182	0.118162	0.0665601	0.0867083	0.119739	0.140836	0.063871	0.0863982	0.116592	0.0666955	0.129985	0.0967756	0.073197	0.0671564	0.0983052	0.0629161	0.0462195	0.253046	0.191379	0.255722	0.299853	0.0290434	0.238033	0.355311	0.0185344	0.327234	0.0318445	5.90249
150	-30353.1	-30388	34.9363	0.207187	0.103558	0.637307	0.000674938	0.0380218	0.402153	3.55915	0.232468	0.12656	0.160224	0.0701493	0.112078	0.154431	0.0854898	0.0474452	0.10533	0.110117	0.0982604	0.0897432	0.119769	0.0565864	0.087495	0.144044	0.150528	0.126733	0.0446415	0.0805346	0.103315	0.124687	0.138202	0.0956616	0.0831007	0.102128	0.186696	0.102288	0.379497	0.127231	0.111775	0.143313	0.107662	0.0887146	0.0749235	0.0258076	0.0901388	0.092171	0.0727377	0.0543153	0.149251	0.0666722	0.17335	0.119575	0.0571605	0.0530118	0.0847157	0.0577097	0.1343	0.0730434	0.236335	0.0511346	0.177444	0.0705231	0.141228	0.0929862	0.105994	0.0961725	0.098033	0.0306338	0.0917975	0.015246	0.256698	0.194436	0.244685	0.304181	0.0290606	0.239282	0.355521	0.0185454	0.327428	0.0301625	6.1541
160	-30366.3	-30402	35.6154	0.213688	0.0021506	0.0132489	0.000826621	0.0420265	0.41843	3.53872	0.205877	0.112468	0.13439	0.0851352	0.0861387	0.146045	0.0729935	0.0394984	0.135199	0.105809	0.121345	0.11152	0.0914984	0.0533865	0.0765053	0.103648	0.203534	0.119921	0.0406793	0.0765198	0.093766	0.102974	0.136345	0.0893923	0.120641	0.0975348	0.203641	0.108184	0.371778	0.117231	0.120521	0.149688	0.204272	0.0705078	0.0917003	0.0328759	0.145507	0.10545	0.0621154	0.123726	0.190034	0.0726132	0.0311658	0.112037	0.0686999	0.0368626	0.0434209	0.0638566	0.0906671	0.0765393	0.182686	0.0652539	0.21683	0.132724	0.0985399	0.095216	0.112438	0.0923755	0.127341	0.0360162	0.0398317	0.0982921	0.255842	0.193788	0.243869	0.306501	0.0316502	0.239567	0.355944	0.0148224	0.327818	0.0301984	6.16056
170	-30356.9	-30394.6	37.7354	0.20971	0.0757584	0.498412	0.000731274	0.0395582	0.408521	3.55119	0.226986	0.10063	0.121648	0.069779	0.0785481	0.134709	0.0833166	0.0322931	0.0926818	0.140454	0.165136	0.0932236	0.0927891	0.0718455	0.0723114	0.117116	0.14586	0.0927849	0.043048	0.0755168	0.0949991	0.111025	0.139716	0.0850166	0.119601	0.0869329	0.184976	0.0980108	0.361608	0.119488	0.105068	0.141484	0.14253	0.0373898	0.235705	0.048299	0.0399317	0.041138	0.127934	0.135386	0.126922	0.0700979	0.0325043	0.0821734	0.0581287	0.0485601	0.0635724	0.0432692	0.0708201	0.132253	0.116409	0.0705526	0.128636	0.0689785	0.0947299	0.148321	0.108509	0.111458	0.115396	0.0593176	0.0670326	0.0171744	0.236045	0.185252	0.259434	0.319269	0.0317693	0.240469	0.357284	0.0111152	0.329051	0.030312	6.57898
180	-30359.6	-30394.3	34.6947	0.203036	0.220468	1.47025	0.000588965	0.0355449	0.391534	3.57233	0.225949	0.110255	0.0995017	0.0628554	0.0896364	0.142876	0.0772991	0.0418189	0.125855	0.13683	0.094132	0.0704064	0.0772262	0.0682474	0.0662749	0.129166	0.104598	0.101219	0.0358468	0.0757833	0.0931473	0.0989856	0.157231	0.0894841	0.0877124	0.098788	0.194285	0.110032	0.39328	0.11146	0.10627	0.141578	0.11157	0.0318682	0.29761	0.0667955	0.0394988	0.201761	0.0352245	0.0767233	0.113165	0.0813454	0.14475	0.119721	0.0554008	0.0568876	0.0976875	0.0458524	0.0757242	0.0854916	0.113618	0.0597331	0.147577	0.216477	0.0564949	0.146688	0.116764	0.0692617	0.115306	0.0452074	0.0873227	0.0550532	0.241152	0.18926	0.243412	0.326177	0.0332729	0.240095	0.356729	0.011098	0.32854	0.0302649	6.66876
190	-30347.9	-30386	38.1283	0.206357	0.149694	1.00007	0.000657098	0.0375217	0.400045	3.56178	0.240884	0.106944	0.119734	0.0602934	0.121003	0.154608	0.0801144	0.0426837	0.11354	0.0993311	0.112728	0.0657233	0.0641778	0.0761817	0.0714753	0.123442	0.137474	0.117376	0.0362041	0.0781597	0.100889	0.0954548	0.144836	0.103308	0.0994478	0.098439	0.188312	0.114122	0.395286	0.112676	0.119548	0.159904	0.0815707	0.122797	0.139181	0.046169	0.0657295	0.0733207	0.137186	0.0811116	0.132712	0.0718412	0.110198	0.147988	0.0780885	0.025091	0.0597741	0.0603135	0.0550321	0.148331	0.207947	0.0696395	0.0790815	0.177733	0.053879	0.137371	0.150381	0.0756036	0.0995756	0.0502263	0.0466005	0.0339247	0.24663	0.193558	0.248941	0.310871	0.0331425	0.239154	0.359688	0.0124764	0.327252	0.0282864	6.68076
