Iteration	Posterior	Likelihood	Prior	alpha_g	epsilon	extinction	gamma_cats[1]	gamma_cats[2]	gamma_cats[3]	gamma_cats[4]	mu	pi[1]	pi[2]	pi[3]	pi[4]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	speciation
250	-30524.8	-30463.8	-60.9701	0.220196	0.0897364	1.02561	0.00100049	0.046178	0.434289	3.51853	0.210712	0.246675	0.183891	0.250675	0.318759	0.0322343	0.249674	0.337106	0.0160039	0.332919	0.0320635	11.4292
260	-30526.4	-30464.2	-62.1884	0.218283	0.0887198	1.04244	0.000947018	0.0449436	0.429673	3.52444	0.222867	0.24524	0.182821	0.255033	0.316905	0.024387	0.2292	0.350552	0.0166422	0.346198	0.0330217	11.7498
270	-30523.8	-30460.3	-63.482	0.208258	0.229022	3.07442	0.000698474	0.0386713	0.404865	3.55577	0.218321	0.244078	0.186693	0.253825	0.315404	0.0300574	0.243253	0.341288	0.0162024	0.33705	0.0321491	13.4242
280	-30535.5	-30470	-65.5645	0.203183	0.272735	4.32743	0.000591883	0.0356319	0.391915	3.57186	0.228109	0.25698	0.185982	0.242834	0.314203	0.0249298	0.250829	0.339691	0.0170797	0.335472	0.0319987	15.8668
290	-30531.8	-30465.8	-65.9575	0.210294	0.252822	4.05923	0.000744775	0.0399173	0.409987	3.54935	0.221245	0.23962	0.190328	0.248508	0.321544	0.025011	0.251646	0.33754	0.0171353	0.336565	0.0321029	16.0557
300	-30523.1	-30458.1	-65.005	0.206847	0.391207	6.51239	0.000667578	0.0378163	0.401289	3.56023	0.21309	0.236356	0.187736	0.258742	0.317166	0.0291333	0.242401	0.356352	0.0151418	0.326049	0.0309234	16.6469
310	-30526.4	-30463.8	-62.5247	0.210054	0.100119	1.04232	0.000739203	0.0397695	0.409384	3.55011	0.215222	0.250018	0.183647	0.257981	0.308355	0.0364995	0.240424	0.353446	0.0155695	0.32339	0.0306713	10.4108
320	-30524.9	-30463	-61.8984	0.211982	0.151806	1.74834	0.000784732	0.040961	0.414199	3.54405	0.213218	0.249093	0.186665	0.257027	0.307214	0.0364995	0.240424	0.353446	0.0155695	0.32339	0.0306713	11.5169
330	-30527	-30464.2	-62.8224	0.217688	0.0870977	1.14713	0.000930788	0.0445619	0.428229	3.52628	0.21215	0.247807	0.186985	0.257467	0.307741	0.0363606	0.239509	0.352101	0.0155103	0.32216	0.0343598	13.1706
340	-30530.7	-30468.3	-62.3792	0.21885	0.248904	3.19105	0.000962663	0.0453084	0.431045	3.52268	0.20579	0.237533	0.190081	0.260737	0.311649	0.0283714	0.241735	0.355373	0.0161079	0.325154	0.0332592	12.8204
350	-30528.3	-30467.9	-60.3204	0.20668	0.0160785	0.170046	0.000664005	0.0377161	0.400867	3.56075	0.216683	0.24748	0.186248	0.257023	0.309248	0.0282992	0.24112	0.354468	0.0133929	0.333102	0.0296179	10.576
360	-30521.5	-30458.7	-62.7899	0.203605	0.162351	1.78832	0.000600264	0.0358805	0.393	3.57052	0.215378	0.24638	0.193236	0.245343	0.315041	0.0320071	0.244008	0.339486	0.0158609	0.332575	0.0360625	11.0152
370	-30523.4	-30461.9	-61.4436	0.212223	0.0233905	0.253724	0.000790568	0.0411112	0.4148	3.5433	0.208807	0.247825	0.194557	0.246782	0.310836	0.0320071	0.244008	0.339486	0.0158609	0.332575	0.0360625	10.8473
380	-30534.8	-30472.3	-62.4756	0.228585	0.1373	1.64803	0.00125926	0.0517219	0.4541	3.49292	0.227004	0.248531	0.189788	0.249959	0.311722	0.029901	0.234369	0.349408	0.0163244	0.342294	0.0277041	12.0031
390	-30523.4	-30460.8	-62.5952	0.211872	0.00903621	0.0916568	0.000782087	0.0408928	0.413926	3.5444	0.226342	0.25637	0.186853	0.247776	0.309001	0.029692	0.23273	0.346965	0.0162103	0.339901	0.0345011	10.1433
400	-30525.2	-30462.4	-62.7605	0.204893	0.0877893	1.05884	0.000626416	0.0366451	0.396307	3.56642	0.220669	0.241901	0.188508	0.257853	0.311737	0.0317225	0.232391	0.346459	0.0155709	0.339406	0.0344508	12.0612
410	-30533.2	-30470	-63.2551	0.207772	0.123366	1.64446	0.000687719	0.0383759	0.403635	3.5573	0.213137	0.249431	0.194375	0.247616	0.308578	0.0312914	0.229233	0.355499	0.016177	0.334794	0.0330057	13.3299
420	-30530.4	-30468.2	-62.2603	0.206072	0.0760448	0.822871	0.000651036	0.0373502	0.399318	3.56268	0.226993	0.249256	0.194239	0.248143	0.308362	0.0250536	0.23434	0.363418	0.0168999	0.323684	0.0366042	10.8209
430	-30532.4	-30470.1	-62.3074	0.208108	0.164946	2.01264	0.000695151	0.0385803	0.404487	3.55624	0.218255	0.249256	0.194239	0.248143	0.308362	0.024988	0.233727	0.362468	0.0194717	0.322837	0.0365085	12.2018
440	-30531.5	-30468.9	-62.5919	0.206248	0.205336	2.84451	0.000654772	0.037456	0.399767	3.56212	0.216304	0.249256	0.194239	0.248143	0.308362	0.026247	0.237053	0.367626	0.0124086	0.327432	0.0292332	13.853
450	-30536.4	-30470.9	-65.4716	0.202811	0.388737	5.15169	0.000584551	0.0354129	0.390955	3.57305	0.219326	0.250976	0.188681	0.249854	0.310489	0.0292297	0.240023	0.36352	0.0145474	0.323774	0.0289066	13.2524
460	-30534.7	-30470.9	-63.7841	0.20846	0.325242	4.6191	0.000702979	0.0387944	0.405375	3.55513	0.226424	0.247765	0.18949	0.250925	0.31182	0.0289224	0.237499	0.359698	0.0143945	0.330884	0.0286027	14.202
470	-30534.4	-30472.3	-62.0621	0.217957	0.163716	1.87918	0.00093811	0.0447346	0.428883	3.52544	0.219484	0.249319	0.193911	0.248261	0.308509	0.0308957	0.236157	0.357665	0.017827	0.329014	0.0284411	11.4783
480	-30534.7	-30473	-61.7057	0.204142	0.0414449	0.499207	0.00061107	0.0361985	0.394381	3.56881	0.232307	0.248814	0.186293	0.258492	0.306401	0.0308151	0.235541	0.356731	0.0177805	0.328155	0.0309769	12.0451
490	-30529.6	-30466	-63.6362	0.2074	0.244932	3.09442	0.000679574	0.0381506	0.402693	3.55848	0.22976	0.25219	0.187049	0.253118	0.307643	0.0310974	0.231888	0.3512	0.0175048	0.337813	0.0304966	12.6338
500	-30531.6	-30469.4	-62.2323	0.211329	0.212385	2.75161	0.00076911	0.0405563	0.412574	3.5461	0.222754	0.251624	0.188872	0.252551	0.306953	0.0335862	0.237145	0.333177	0.0194329	0.345471	0.0311879	12.9558
510	-30531.7	-30469.3	-62.4436	0.214149	0.0976596	1.29718	0.000838202	0.0423162	0.419568	3.53728	0.22323	0.250696	0.175618	0.251619	0.322067	0.0333182	0.235253	0.330518	0.0219418	0.342715	0.0362542	13.2827
520	-30534.6	-30472.6	-61.9517	0.200983	0.128947	1.59422	0.000549435	0.0343442	0.386217	3.57889	0.221595	0.245818	0.189845	0.247518	0.316819	0.0314085	0.236026	0.331605	0.0220139	0.343842	0.0351042	12.3634
530	-30530.7	-30467.1	-63.6166	0.218806	0.28289	4.31438	0.000961438	0.0452799	0.430938	3.52282	0.219165	0.245818	0.189845	0.247518	0.316819	0.0325106	0.244309	0.343241	0.0227864	0.320817	0.036336	15.2511
540	-30541.1	-30479.6	-61.5136	0.202873	0.0627712	0.785358	0.000585768	0.0354494	0.391115	3.57285	0.20908	0.245818	0.189845	0.247518	0.316819	0.0317085	0.259395	0.339116	0.0225125	0.316961	0.0303078	12.5114
550	-30536.4	-30475.4	-60.9727	0.212091	0.000838054	0.00941412	0.000787375	0.0410291	0.414472	3.54371	0.218903	0.239673	0.190102	0.245092	0.325132	0.0327588	0.259113	0.338748	0.0224881	0.316617	0.0302749	11.2333
560	-30534.3	-30472.9	-61.3144	0.206775	0.0521428	0.538328	0.000666031	0.037773	0.401107	3.56045	0.213587	0.246075	0.188073	0.24419	0.321662	0.0319006	0.252326	0.357353	0.0135675	0.315371	0.0294818	10.3241
570	-30532	-30470.1	-61.8992	0.20896	0.0521428	0.631513	0.000714208	0.0390993	0.406636	3.55355	0.210955	0.250329	0.187911	0.240374	0.321385	0.0319006	0.252326	0.357353	0.0135675	0.315371	0.0294818	12.1112
580	-30530.3	-30468.1	-62.1775	0.208676	0.168977	2.2085	0.000707805	0.0389257	0.405919	3.55445	0.21165	0.250329	0.187911	0.240374	0.321385	0.0320984	0.251234	0.355807	0.0174996	0.314007	0.0293543	13.0698
590	-30530.8	-30467.7	-63.1205	0.210909	0.320296	4.38224	0.00075917	0.0402965	0.411525	3.54742	0.206628	0.253995	0.18045	0.244203	0.321352	0.0303887	0.25615	0.334199	0.017842	0.320152	0.041268	13.6818
600	-30531.5	-30470.7	-60.7347	0.210909	0.0637771	0.697234	0.00075917	0.0402965	0.411525	3.54742	0.20659	0.250884	0.201557	0.236432	0.311127	0.0304175	0.256861	0.332434	0.0185266	0.320455	0.0413071	10.9324
610	-30537.4	-30474	-63.4094	0.200255	0.198864	2.73938	0.000535885	0.0339226	0.384323	3.58122	0.207296	0.246042	0.197667	0.231869	0.324421	0.0305678	0.25813	0.334076	0.0186181	0.322038	0.0365701	13.7751
620	-30524.6	-30463.7	-60.8312	0.211611	0.0195584	0.187835	0.000775819	0.0407306	0.413275	3.54522	0.197496	0.244944	0.196311	0.235772	0.322973	0.0317969	0.266032	0.344303	0.0176905	0.302489	0.0376896	9.60379
630	-30532	-30470.4	-61.6803	0.209384	0.0734923	0.715425	0.000723813	0.0393583	0.407701	3.55222	0.204372	0.247501	0.195133	0.238234	0.319132	0.027321	0.266798	0.345295	0.0177415	0.30336	0.039485	9.73469
640	-30531.4	-30469.6	-61.7468	0.210978	0.0857109	1.06089	0.000760793	0.0403391	0.411697	3.5472	0.192749	0.242787	0.19381	0.250349	0.313054	0.0295661	0.265242	0.32873	0.0185411	0.317033	0.0408884	12.3776
650	-30535	-30474.6	-60.4668	0.196197	0.0308614	0.33945	0.000464646	0.0316105	0.373659	3.59427	0.190696	0.244167	0.194911	0.24609	0.314832	0.0359337	0.250576	0.349541	0.0183379	0.313558	0.0320535	10.9992
660	-30531.6	-30469.4	-62.1944	0.208538	0.188509	2.34333	0.000704721	0.0388418	0.405572	3.55488	0.209285	0.248122	0.193891	0.244802	0.313185	0.0337054	0.251155	0.350349	0.0183803	0.314283	0.0321276	12.4308
670	-30533.5	-30468.4	-65.0827	0.21854	0.394972	6.17833	0.000954094	0.045109	0.430296	3.52364	0.207021	0.254434	0.190168	0.243667	0.311732	0.0335806	0.250226	0.349052	0.0183122	0.313119	0.03571	15.6424
680	-30529.8	-30464.7	-65.0706	0.219653	0.392599	6.0108	0.000985123	0.0458268	0.432984	3.5202	0.209207	0.25242	0.18794	0.240811	0.318829	0.0335806	0.250226	0.349052	0.0183122	0.313119	0.03571	15.3103
690	-30529.6	-30467	-62.615	0.204702	0.204263	2.55888	0.00062248	0.0365311	0.395817	3.56703	0.207002	0.253992	0.18911	0.240974	0.315924	0.0252191	0.259846	0.337826	0.0148682	0.325158	0.037083	12.5274
700	-30531.4	-30469.1	-62.3694	0.207998	0.011263	0.11566	0.000692704	0.0385131	0.404207	3.55659	0.209942	0.246833	0.190925	0.243286	0.318956	0.0332401	0.257708	0.335046	0.0147458	0.322482	0.0367778	10.269
710	-30536.4	-30472.8	-63.6507	0.211625	0.229637	2.70073	0.000776177	0.0407399	0.413313	3.54517	0.209206	0.248641	0.192854	0.236325	0.322179	0.0331164	0.256749	0.333799	0.014691	0.321282	0.0403632	11.7609
720	-30532.8	-30469.7	-63.0776	0.210175	0.151214	1.67884	0.000742009	0.039844	0.409688	3.54973	0.211055	0.248641	0.192854	0.236325	0.322179	0.033088	0.256529	0.333513	0.0146784	0.321007	0.0411845	11.1024
730	-30531.7	-30468.2	-63.4593	0.210665	0.277027	3.69398	0.000753423	0.0401456	0.410914	3.54819	0.202671	0.247564	0.187179	0.244473	0.320784	0.0329731	0.255638	0.332355	0.0180992	0.319892	0.0410415	13.3344
740	-30530.4	-30468.7	-61.689	0.207467	0.0228007	0.229652	0.000681033	0.0381911	0.402863	3.55827	0.207935	0.250479	0.189383	0.245866	0.314272	0.0304271	0.258855	0.336538	0.018327	0.323918	0.0319352	10.0721
750	-30537.4	-30476	-61.4267	0.208705	0.0356342	0.372765	0.000708455	0.0389434	0.405992	3.55436	0.207935	0.250704	0.194439	0.240302	0.314555	0.0303556	0.241453	0.340909	0.0156469	0.328125	0.04351	10.4609
760	-30542.9	-30479.6	-63.2657	0.212474	0.14666	1.94748	0.000796659	0.0412673	0.415423	3.54251	0.201196	0.257723	0.199882	0.247029	0.295365	0.0304507	0.242209	0.341977	0.0136811	0.329153	0.0425294	13.2789
770	-30540.5	-30476.7	-63.8153	0.216314	0.308967	4.02232	0.000894052	0.0436852	0.424882	3.53054	0.207214	0.257169	0.199453	0.246498	0.29688	0.0303742	0.241601	0.341117	0.0161591	0.328326	0.0424226	13.0186
780	-30534.6	-30472.2	-62.4146	0.210277	0.0705902	0.870345	0.000744379	0.0399068	0.409944	3.5494	0.201482	0.260129	0.190238	0.249336	0.300297	0.026489	0.24487	0.345733	0.0163778	0.332768	0.0337624	12.3295
790	-30534.7	-30473.5	-61.1481	0.21284	0.0334513	0.361585	0.000805617	0.0414958	0.416331	3.54137	0.207216	0.259627	0.189871	0.248855	0.301647	0.0269429	0.228715	0.351657	0.0185081	0.33847	0.035707	10.8093
800	-30531.3	-30470.5	-60.8849	0.201478	0.00324615	0.0345274	0.000558794	0.0346324	0.387504	3.5773	0.206511	0.253874	0.185664	0.24334	0.317122	0.0313114	0.235166	0.347289	0.0149469	0.334266	0.0370201	10.6364
810	-30525.9	-30464.3	-61.5714	0.206288	0.112919	1.23743	0.000655631	0.0374802	0.39987	3.56199	0.207811	0.250259	0.186563	0.244519	0.318659	0.0384254	0.248208	0.327452	0.0162727	0.330569	0.0390732	10.9586
820	-30528.6	-30467.9	-60.6652	0.216407	0.0457201	0.489565	0.000896517	0.0437446	0.42511	3.53025	0.202323	0.247043	0.186696	0.249964	0.316297	0.0383839	0.24794	0.327099	0.0162551	0.330212	0.0401099	10.7079
830	-30527.8	-30465.1	-62.6661	0.213852	0.0133521	0.161973	0.000830714	0.0421291	0.418834	3.53821	0.209459	0.248491	0.181926	0.25143	0.318152	0.0383364	0.247633	0.326694	0.0147865	0.329803	0.0427469	12.131
840	-30538.3	-30476.2	-62.1135	0.209216	0.0396386	0.38417	0.000719991	0.0392554	0.407279	3.55275	0.206875	0.247703	0.184522	0.250633	0.317143	0.0374393	0.249148	0.330527	0.014877	0.331821	0.0361876	9.69182
850	-30535.2	-30472.8	-62.3894	0.218729	0.0997319	1.057	0.000959315	0.0452306	0.430753	3.52306	0.220213	0.252951	0.183298	0.248712	0.315039	0.037322	0.25095	0.329491	0.015381	0.330781	0.0360742	10.5984
860	-30536.8	-30473.6	-63.1389	0.219297	0.091716	1.20932	0.000975112	0.0455965	0.432124	3.5213	0.22507	0.250666	0.181642	0.255499	0.312193	0.0282011	0.245565	0.348359	0.0188917	0.323683	0.0353001	13.1854
870	-30533.9	-30473.1	-60.7946	0.21146	0.0506316	0.580252	0.000772215	0.0406371	0.412899	3.54569	0.205417	0.250666	0.181642	0.255499	0.312193	0.0282514	0.246003	0.34898	0.0171436	0.32426	0.035363	11.4603
880	-30536.4	-30473.4	-63.0433	0.201182	0.346959	5.04258	0.000553198	0.0344604	0.386737	3.57825	0.20061	0.248382	0.179986	0.253171	0.318461	0.0349293	0.242766	0.344389	0.0230237	0.319994	0.0348978	14.5336
890	-30531.2	-30470.4	-60.8188	0.211913	0.00761778	0.0853776	0.000783068	0.0409181	0.414028	3.54427	0.217516	0.248689	0.180209	0.253484	0.317618	0.0389729	0.242699	0.344293	0.0192407	0.319906	0.0348882	11.2077
900	-30530.9	-30469.1	-61.8814	0.207268	0.156844	1.8777	0.000676697	0.0380707	0.402358	3.55889	0.214042	0.244666	0.196735	0.246119	0.31248	0.0345304	0.245733	0.348597	0.0181274	0.317558	0.0354551	11.9718
910	-30526.9	-30465.4	-61.4994	0.206626	0.0309083	0.345122	0.000662839	0.0376834	0.400729	3.56093	0.221354	0.244666	0.196735	0.246119	0.31248	0.0284445	0.254681	0.353074	0.0172384	0.309684	0.0368781	11.166
920	-30532.5	-30470.9	-61.5758	0.21178	0.166197	2.00003	0.000779872	0.0408356	0.413697	3.54469	0.213568	0.244666	0.196735	0.246119	0.31248	0.0284445	0.254681	0.353074	0.0172384	0.309684	0.0368781	12.0341
930	-30542.3	-30480.3	-61.9779	0.21178	0.0810784	1.07142	0.000779872	0.0408356	0.413697	3.54469	0.209479	0.243274	0.196352	0.244718	0.315656	0.0286449	0.256475	0.355562	0.0137416	0.311866	0.0337116	13.2146
940	-30527	-30464.9	-62.1036	0.204277	0.154424	1.93641	0.000613809	0.0362786	0.394727	3.56838	0.211567	0.241021	0.196236	0.25001	0.312732	0.0286397	0.256428	0.355497	0.0137391	0.311809	0.0338874	12.5396
950	-30525.1	-30463.4	-61.7327	0.208405	0.0906479	0.994201	0.000701736	0.0387605	0.405235	3.5553	0.213873	0.241176	0.196362	0.249529	0.312933	0.0285855	0.255943	0.354824	0.0156051	0.311219	0.0338233	10.9677
960	-30523.8	-30461.9	-61.9294	0.211875	0.130126	1.44929	0.00078217	0.0408949	0.413935	3.54439	0.218591	0.251107	0.195854	0.249685	0.303354	0.0246305	0.243198	0.363752	0.0146966	0.319049	0.0346743	11.1375
970	-30526.1	-30465	-61.1787	0.213263	0.0184599	0.220999	0.000816043	0.0417601	0.417379	3.54005	0.216249	0.251341	0.196036	0.248986	0.303637	0.0249574	0.246425	0.345468	0.0148917	0.333123	0.0351345	11.9719
980	-30523	-30462	-61.0277	0.207662	0.0754055	0.871774	0.000685316	0.0383096	0.403358	3.55765	0.219805	0.25176	0.196362	0.247736	0.304142	0.0332187	0.244337	0.342541	0.0147655	0.330301	0.0348368	11.5612
990	-30526.8	-30465.6	-61.2001	0.214926	0.0468459	0.521539	0.000857957	0.0428056	0.42148	3.53486	0.220305	0.246875	0.192553	0.24293	0.317642	0.0318841	0.235011	0.348811	0.0179574	0.336346	0.0299893	11.1331
1000	-30519.9	-30456.6	-63.2291	0.208645	0.262347	3.38309	0.000707117	0.038907	0.405842	3.55454	0.224133	0.246377	0.192164	0.249123	0.312335	0.0318534	0.234785	0.348475	0.0179401	0.336023	0.0309233	12.8955
1010	-30527.1	-30463.1	-63.9612	0.200412	0.329401	4.92662	0.000538786	0.0340133	0.384732	3.58072	0.217589	0.250705	0.191654	0.24743	0.310211	0.030576	0.234671	0.348306	0.0179314	0.335859	0.0326575	14.9563
1020	-30523	-30459.4	-63.6171	0.20953	0.321709	4.78163	0.000727148	0.0394477	0.408069	3.55176	0.213225	0.253258	0.191001	0.246587	0.309155	0.0254303	0.235883	0.350105	0.0181618	0.337594	0.0328262	14.8632
1030	-30524.2	-30457.8	-66.3674	0.215376	0.413221	7.07352	0.000869541	0.0430899	0.422585	3.53346	0.222596	0.253542	0.188634	0.246863	0.310961	0.0297417	0.23507	0.348898	0.0180992	0.33643	0.0317616	17.118
1040	-30527.2	-30465.5	-61.6756	0.218558	0.0287684	0.336804	0.000954585	0.0451204	0.430339	3.52359	0.22619	0.253542	0.188634	0.246863	0.310961	0.0312132	0.231207	0.343165	0.0155514	0.347624	0.0312397	11.7074
1050	-30532.5	-30470.7	-61.7395	0.217599	0.00482419	0.05313	0.000928374	0.0445049	0.428012	3.52655	0.22162	0.244618	0.187513	0.25164	0.31623	0.0312132	0.231207	0.343165	0.0155514	0.347624	0.0312397	11.0133
1060	-30533.3	-30472.5	-60.7528	0.207662	0.0453102	0.495894	0.0006853	0.0383092	0.403356	3.55765	0.214308	0.247	0.179601	0.25409	0.319309	0.031258	0.231539	0.334995	0.021323	0.348122	0.032763	10.9444
1070	-30531.6	-30470.3	-61.3072	0.207662	0.0517063	0.559298	0.0006853	0.0383092	0.403356	3.55765	0.229122	0.246737	0.180473	0.25382	0.31897	0.0309041	0.228917	0.342525	0.0210816	0.344181	0.032392	10.8168
