Iteration	Posterior	Likelihood	Prior	alpha_g	epsilon	extinction	gamma_cats[1]	gamma_cats[2]	gamma_cats[3]	gamma_cats[4]	mu	pi[1]	pi[2]	pi[3]	pi[4]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	speciation
2510	-30538.7	-30476.1	-62.5958	0.209767	0.116835	1.52608	0.00073258	0.039593	0.408664	3.55101	0.210946	0.239215	0.201332	0.25116	0.308293	0.0336649	0.255114	0.346974	0.0195819	0.311157	0.0335089	13.0618
2520	-30531.3	-30469.2	-62.1373	0.214436	0.176104	2.20469	0.000845452	0.0424965	0.420274	3.53638	0.212543	0.237819	0.1984	0.251733	0.312047	0.0293689	0.256349	0.348654	0.0176057	0.312663	0.0353596	12.5192
2530	-30530.8	-30469	-61.8215	0.209099	0.0551977	0.609523	0.000717346	0.0391841	0.406985	3.55311	0.209242	0.238579	0.195842	0.252536	0.313043	0.0274903	0.256674	0.349096	0.0161962	0.31306	0.0374845	11.0425
2540	-30536.4	-30472.9	-63.5054	0.213227	0.14534	2.01034	0.000815159	0.0417378	0.41729	3.54016	0.213222	0.238579	0.195842	0.252536	0.313043	0.0274072	0.255897	0.34804	0.0210194	0.312113	0.0355236	13.832
2550	-30532.5	-30468.9	-63.5972	0.229883	0.26801	3.82355	0.00130291	0.0525971	0.4571	3.489	0.220134	0.239835	0.196873	0.253866	0.309425	0.0275827	0.257537	0.350269	0.0147477	0.314112	0.0357512	14.2665
2560	-30529.5	-30464.7	-64.7939	0.209571	0.420273	6.67271	0.000728102	0.0394733	0.408173	3.55163	0.208554	0.241518	0.198255	0.24863	0.311597	0.0292036	0.24558	0.355334	0.0149609	0.318654	0.0362681	15.8771
2570	-30533.7	-30469.2	-64.5346	0.214353	0.375133	5.43885	0.000843349	0.0424443	0.42007	3.53664	0.215044	0.243419	0.191945	0.250587	0.314049	0.0334051	0.244517	0.353796	0.0148962	0.317275	0.0361112	14.4985
2580	-30534.3	-30472.1	-62.1503	0.215303	0.14058	1.75223	0.000867664	0.043044	0.422406	3.53368	0.219078	0.246828	0.194633	0.254096	0.304442	0.0334845	0.245098	0.354636	0.0138753	0.318029	0.0348775	12.4643
2590	-30534.2	-30470.1	-64.1124	0.215449	0.411386	6.20935	0.000871437	0.0431363	0.422764	3.53323	0.200422	0.245323	0.195022	0.254604	0.305051	0.0329888	0.241469	0.363682	0.0141779	0.313321	0.0343612	15.0938
2600	-30534.5	-30468.2	-66.2927	0.218023	0.411386	7.22463	0.000939901	0.0447767	0.429042	3.52524	0.210607	0.240381	0.196299	0.256272	0.307048	0.0330896	0.242207	0.364794	0.0142213	0.314278	0.0314098	17.5617
2610	-30534.1	-30471	-63.0852	0.214252	0.0992467	1.29197	0.000840802	0.0423809	0.419822	3.53696	0.220968	0.236613	0.196189	0.258036	0.309162	0.0329684	0.24132	0.363458	0.0141692	0.313128	0.0349564	13.0177
2620	-30527	-30466.4	-60.5502	0.213912	0.00308027	0.0337044	0.000832226	0.042167	0.418982	3.53802	0.219763	0.241438	0.195243	0.255647	0.307671	0.0365314	0.240802	0.362678	0.0141388	0.312455	0.0333942	10.9421
2630	-30526.8	-30465.1	-61.6374	0.21708	0.00490209	0.0498476	0.000914417	0.0441735	0.426751	3.52816	0.215847	0.242902	0.197143	0.248608	0.311347	0.0370659	0.244326	0.367985	0.0143457	0.302395	0.0338828	10.1686
2640	-30528.6	-30466.7	-61.9151	0.213178	0.00909483	0.0895493	0.000813931	0.0417067	0.417167	3.54031	0.213537	0.241425	0.198182	0.247096	0.313297	0.0305295	0.252821	0.345137	0.0195525	0.312909	0.0390509	9.84618
2650	-30533.8	-30470.6	-63.2545	0.219147	0.14974	1.62432	0.000970931	0.0455	0.431763	3.52177	0.212859	0.24292	0.199409	0.242433	0.315238	0.0350448	0.251489	0.343319	0.0200405	0.311261	0.0388452	10.8476
2660	-30533.5	-30471.8	-61.6146	0.215502	0.0487307	0.58963	0.000872805	0.0431697	0.422893	3.53306	0.219255	0.248732	0.192901	0.235586	0.322781	0.0350448	0.251489	0.343319	0.0200405	0.311261	0.0388452	12.0998
2670	-30534	-30469.9	-64.0686	0.211711	0.265262	3.96457	0.000778216	0.0407927	0.413525	3.5449	0.217311	0.249608	0.190061	0.236415	0.323917	0.033405	0.255548	0.339083	0.020364	0.316284	0.0353152	14.9458
2680	-30534.7	-30471.5	-63.1799	0.21909	0.272712	3.63279	0.000969332	0.045463	0.431625	3.52194	0.220369	0.246961	0.188332	0.244225	0.320482	0.0332261	0.254181	0.337268	0.0219616	0.314591	0.0387723	13.321
2690	-30526.1	-30463.4	-62.6614	0.223879	0.0681809	0.88107	0.00110916	0.0485865	0.443074	3.50723	0.214668	0.246027	0.193562	0.242927	0.317483	0.0337371	0.258089	0.342455	0.018765	0.319429	0.0275246	12.9225
2700	-30527.1	-30465.1	-61.9574	0.211458	0.218942	2.82929	0.000772173	0.040636	0.412895	3.5457	0.213706	0.244749	0.189195	0.245375	0.320682	0.0337848	0.258454	0.342939	0.0150589	0.319881	0.029882	12.9225
2710	-30520.3	-30458.1	-62.1865	0.208848	0.01221	0.136126	0.000711684	0.039031	0.406354	3.5539	0.223782	0.244937	0.189147	0.245313	0.320602	0.0332463	0.254335	0.353411	0.0148189	0.314783	0.0294058	11.1487
2720	-30526.5	-30463.9	-62.6171	0.215989	0.100829	1.17217	0.000885504	0.0434786	0.424086	3.53155	0.22706	0.245103	0.189106	0.24526	0.320531	0.0328394	0.250978	0.348747	0.0146233	0.323795	0.0290176	11.6254
2730	-30532	-30468.9	-63.0776	0.208397	0.144103	1.92938	0.000701567	0.0387558	0.405216	3.55533	0.218761	0.246355	0.193122	0.248379	0.312144	0.0332094	0.253805	0.352675	0.0161262	0.312932	0.0312517	13.3889
2740	-30521.3	-30457.9	-63.3752	0.208397	0.228892	3.21615	0.000701567	0.0387558	0.405216	3.55533	0.230394	0.245533	0.190397	0.252967	0.311103	0.0294424	0.244567	0.359109	0.0164203	0.31864	0.0318217	14.0509
2750	-30526.4	-30464.2	-62.1859	0.205482	0.0183926	0.201473	0.000638642	0.036997	0.397814	3.56455	0.226893	0.242697	0.188198	0.250046	0.319059	0.0294424	0.244567	0.359109	0.0164203	0.31864	0.0318217	10.954
2760	-30533.5	-30470.3	-63.1725	0.205482	0.2352	3.17198	0.000638642	0.036997	0.397814	3.56455	0.225593	0.247274	0.188751	0.243977	0.319998	0.0289943	0.256063	0.353643	0.0161704	0.313791	0.0313374	13.4863
2770	-30533.9	-30469.1	-64.7529	0.218081	0.333944	5.205	0.000941492	0.0448141	0.429183	3.52506	0.235713	0.245271	0.19532	0.242002	0.317406	0.0283595	0.255508	0.352876	0.0126026	0.31311	0.0375438	15.5864
2780	-30534.6	-30470.2	-64.4009	0.227874	0.262814	3.85892	0.00123576	0.0512442	0.452448	3.49507	0.243057	0.244636	0.194814	0.243965	0.316584	0.0345423	0.253882	0.350631	0.0125224	0.311118	0.0373049	14.683
2790	-30529	-30465.5	-63.5265	0.205907	0.10206	1.41911	0.00064755	0.0372512	0.398898	3.5632	0.230216	0.244636	0.194814	0.243965	0.316584	0.0309316	0.251019	0.346677	0.0123812	0.322107	0.0368842	13.9047
2800	-30528.8	-30465.8	-63.0343	0.205854	0.108844	1.47894	0.000646444	0.0372197	0.398764	3.56337	0.22973	0.244636	0.194814	0.243965	0.316584	0.0308546	0.250394	0.345814	0.0147846	0.321306	0.0368473	13.5877
2810	-30533.3	-30470.8	-62.5508	0.215059	0.0403771	0.511992	0.000861369	0.0428896	0.421807	3.53444	0.240436	0.250855	0.185247	0.245422	0.318475	0.0308546	0.250394	0.345814	0.0147846	0.321306	0.0368473	12.6802
2820	-30536.8	-30473.5	-63.3282	0.203514	0.104722	1.22502	0.000598445	0.0358267	0.392766	3.57081	0.231468	0.253981	0.187556	0.248481	0.309981	0.0307005	0.249204	0.344086	0.0147107	0.333195	0.0281039	11.6978
2830	-30533.6	-30469.9	-63.708	0.202	0.309982	4.29894	0.000568776	0.034937	0.388857	3.57564	0.217728	0.252495	0.185921	0.247919	0.313665	0.0303622	0.251172	0.340295	0.0213219	0.329524	0.0273252	13.8683
2840	-30526.2	-30462.2	-63.9593	0.210674	0.225426	3.26416	0.000753641	0.0401513	0.410937	3.54816	0.238193	0.25357	0.187725	0.240236	0.318469	0.030188	0.249676	0.338268	0.0211949	0.327561	0.0331128	14.48
2850	-30533.9	-30469.8	-64.1829	0.213705	0.131176	1.86032	0.000827049	0.0420373	0.418472	3.53866	0.233507	0.25357	0.187725	0.240236	0.318469	0.0301254	0.249157	0.337566	0.0211509	0.326881	0.0351193	14.1819
2860	-30535.3	-30471.4	-63.9087	0.207076	0.139169	2.02156	0.000672528	0.0379546	0.401871	3.5595	0.227031	0.25357	0.187725	0.240236	0.318469	0.0347441	0.25058	0.333818	0.0215215	0.328748	0.030588	14.526
2870	-30522.8	-30460.2	-62.6325	0.219039	0.0637122	0.773589	0.000967928	0.0454305	0.431503	3.5221	0.234412	0.251423	0.186136	0.246668	0.315772	0.0320908	0.250694	0.333969	0.0172037	0.328897	0.0371462	12.1419
2880	-30524.8	-30461.5	-63.3855	0.20966	0.116879	1.38796	0.000730125	0.0395274	0.408395	3.55135	0.239017	0.250448	0.185413	0.245711	0.318428	0.0303318	0.233911	0.343477	0.0176092	0.33665	0.0380218	11.8752
2890	-30524.4	-30461.6	-62.7857	0.206325	0.0679018	0.795124	0.000656416	0.0375024	0.399964	3.56188	0.238806	0.249685	0.187896	0.244962	0.317457	0.0303793	0.236814	0.345858	0.0178278	0.340828	0.028293	11.7099
2900	-30532.6	-30468.7	-63.9574	0.210936	0.0419693	0.579478	0.00075981	0.0403133	0.411593	3.54733	0.228043	0.24788	0.190895	0.245465	0.31576	0.0302904	0.231058	0.344846	0.0177756	0.339831	0.0361993	13.8072
2910	-30532.4	-30469.2	-63.2072	0.216831	0.17525	2.32653	0.000907764	0.0440146	0.426144	3.52893	0.240189	0.241356	0.192891	0.258305	0.307449	0.0302904	0.231058	0.344846	0.0177756	0.339831	0.0361993	13.2755
2920	-30539.8	-30475.4	-64.4115	0.208888	0.161719	1.86233	0.00071258	0.0390553	0.406454	3.55378	0.239204	0.25846	0.189333	0.250429	0.301779	0.030351	0.23152	0.345535	0.0158112	0.340511	0.0362717	11.5158
2930	-30534.6	-30471.2	-63.409	0.211425	0.279041	3.78383	0.000771398	0.0406158	0.412814	3.5458	0.21944	0.251177	0.191193	0.252888	0.304742	0.0364012	0.229626	0.342709	0.0175634	0.337725	0.035975	13.5601
2940	-30538.2	-30473.8	-64.4364	0.213821	0.286253	3.52758	0.000829954	0.0421101	0.418759	3.5383	0.208595	0.254967	0.191571	0.246013	0.307449	0.0364097	0.22968	0.342789	0.0175675	0.337804	0.0357506	12.3233
2950	-30532.1	-30467.6	-64.4767	0.208215	0.169426	1.80155	0.000697515	0.0386451	0.404756	3.5559	0.217978	0.251751	0.189155	0.255522	0.303572	0.0364097	0.22968	0.342789	0.0175675	0.337804	0.0357506	10.6332
2960	-30535	-30473.6	-61.3874	0.204711	0.0206447	0.230865	0.000622684	0.036537	0.395842	3.567	0.221881	0.241323	0.19103	0.252423	0.315224	0.0359036	0.229998	0.343264	0.0167627	0.338272	0.0358002	11.1828
2970	-30535.5	-30471.2	-64.2439	0.220593	0.281953	4.43389	0.00101184	0.0464356	0.435243	3.51731	0.218931	0.242343	0.191838	0.249262	0.316557	0.0372411	0.23694	0.353624	0.0183681	0.316945	0.0368807	15.7256
2980	-30526.3	-30463.1	-63.1875	0.212929	0.0520134	0.681951	0.000807803	0.0415514	0.416552	3.54109	0.236782	0.242343	0.191838	0.249262	0.316557	0.0374169	0.238059	0.355294	0.01444	0.318441	0.0363493	13.1111
2990	-30529	-30466.2	-62.8175	0.226619	0.1015	1.24692	0.00119501	0.0504046	0.449521	3.49888	0.229154	0.249208	0.1901	0.247003	0.313689	0.0326079	0.238999	0.356697	0.014497	0.319699	0.0375011	12.2849
3000	-30530	-30467.2	-62.7113	0.216084	0.193172	2.50415	0.000888006	0.0435392	0.42432	3.53125	0.222813	0.249208	0.1901	0.247003	0.313689	0.030651	0.239446	0.357364	0.0145242	0.320297	0.0377169	12.9633
3010	-30531.8	-30469	-62.7176	0.199282	0.0751262	1.00817	0.00051815	0.0333624	0.381782	3.58434	0.228227	0.246743	0.190724	0.247814	0.314719	0.0305127	0.238366	0.355753	0.0134656	0.324356	0.0375468	13.4197
3020	-30532.3	-30469.6	-62.6471	0.22385	0.0735104	0.959521	0.00110827	0.0485672	0.443005	3.50732	0.233092	0.243758	0.200516	0.244816	0.310911	0.0296605	0.25964	0.345816	0.0130895	0.315296	0.036498	13.0529
3030	-30527.9	-30464.7	-63.1466	0.214323	0.177134	2.4423	0.000842585	0.0424253	0.419996	3.53674	0.216555	0.243375	0.196255	0.249948	0.310422	0.0305221	0.267182	0.355861	0.014651	0.296938	0.034846	13.7879
3040	-30533.8	-30471.6	-62.2299	0.206236	0.0789063	0.977139	0.000654514	0.0374487	0.399736	3.56216	0.221326	0.244016	0.194346	0.250399	0.311239	0.030547	0.2674	0.356152	0.0158872	0.297181	0.0328332	12.3835
3050	-30529.4	-30467.4	-62.0165	0.213541	0.0890772	1.10469	0.000822937	0.0419339	0.418065	3.53918	0.228483	0.244073	0.207173	0.237442	0.311313	0.0306033	0.267893	0.356809	0.0159165	0.297729	0.0310494	12.4015
3060	-30539.1	-30474.5	-64.6324	0.219978	0.318956	4.18113	0.00099431	0.0460371	0.433766	3.5192	0.210655	0.244808	0.190547	0.252395	0.31225	0.0369956	0.26711	0.355766	0.0125375	0.296858	0.030733	13.1088
3070	-30527.7	-30465.8	-61.959	0.20916	0.0229319	0.269359	0.000718723	0.0392212	0.407138	3.55292	0.212749	0.243916	0.189669	0.25343	0.312985	0.0362225	0.261528	0.348331	0.0189001	0.30509	0.0299279	11.746
3080	-30528.8	-30464.8	-63.9841	0.210869	0.206743	3.04753	0.000758214	0.0402715	0.411424	3.54755	0.211961	0.23548	0.195942	0.245241	0.323337	0.0394684	0.260647	0.347158	0.0188364	0.304063	0.0298271	14.7407
3090	-30539.4	-30477.3	-62.0998	0.202417	0.113153	1.37936	0.00057685	0.0351814	0.389937	3.5743	0.214216	0.23595	0.199687	0.243423	0.320941	0.0402537	0.265833	0.332596	0.0207831	0.310113	0.0304206	12.1902
3100	-30543.8	-30480.6	-63.2036	0.210025	0.256407	3.14517	0.000738533	0.0397517	0.409312	3.5502	0.198956	0.245865	0.186097	0.237503	0.330535	0.0319521	0.265358	0.332001	0.0205893	0.309558	0.0405421	12.2663
3110	-30537	-30471.2	-65.7924	0.221106	0.369316	6.5017	0.00102665	0.0467696	0.436474	3.51573	0.21885	0.250023	0.189243	0.241519	0.319215	0.0326546	0.244752	0.341404	0.0211724	0.318326	0.0416904	17.6047
3120	-30537.4	-30474.2	-63.2373	0.215648	0.0974272	1.0891	0.000876602	0.0432623	0.423252	3.53261	0.23365	0.250684	0.189744	0.239511	0.32006	0.0320957	0.236991	0.335561	0.0208101	0.333565	0.0409768	11.1786
3130	-30521.5	-30458.7	-62.7676	0.204621	0.0349024	0.402332	0.000620821	0.0364829	0.395609	3.56729	0.233702	0.253802	0.192104	0.24249	0.311604	0.0324159	0.239356	0.338909	0.0165921	0.336893	0.035834	11.5273
3140	-30529.5	-30466.6	-62.9078	0.21092	0.017424	0.196694	0.000759428	0.0403033	0.411553	3.54738	0.235758	0.25317	0.195597	0.240406	0.310828	0.0322131	0.237858	0.336788	0.0152413	0.334785	0.043114	11.2887
3150	-30533.3	-30470.3	-62.9231	0.21147	0.0373277	0.487071	0.000772474	0.0406438	0.412926	3.54566	0.240836	0.256332	0.186535	0.242423	0.31471	0.0278622	0.236148	0.338524	0.017619	0.336511	0.0433362	13.0485
3160	-30540	-30478.2	-61.8168	0.205718	0.0105631	0.135017	0.000643582	0.0371382	0.398417	3.5638	0.22193	0.247129	0.199542	0.24822	0.30511	0.027839	0.235952	0.338242	0.0176044	0.336231	0.0441321	12.782
3170	-30530.8	-30468.1	-62.6386	0.20209	0.0132363	0.136642	0.000570516	0.0349898	0.389091	3.57535	0.223104	0.260166	0.19267	0.243474	0.30369	0.0330372	0.23473	0.336491	0.0173486	0.33449	0.0439036	10.3233
3180	-30527.2	-30465	-62.2174	0.217732	0.0132363	0.144566	0.000931993	0.0445904	0.428336	3.52614	0.24501	0.260166	0.19267	0.243474	0.30369	0.0287163	0.235779	0.337994	0.0174261	0.335984	0.0440998	10.9219
3190	-30523	-30460.3	-62.7039	0.219625	0.0076114	0.0785126	0.000984319	0.0458084	0.432915	3.52029	0.234862	0.25105	0.19534	0.245711	0.307899	0.0288578	0.236941	0.33966	0.017512	0.33764	0.0393896	10.3151
3200	-30525.7	-30462.4	-63.2358	0.216026	0.189164	2.37455	0.000886464	0.0435018	0.424176	3.53144	0.221478	0.252684	0.193539	0.248717	0.30506	0.0281703	0.237702	0.348986	0.0170948	0.329596	0.0384511	12.5529
3210	-30520.8	-30458.4	-62.409	0.202891	0.122107	1.56263	0.000586106	0.0354595	0.39116	3.57279	0.232649	0.250243	0.194171	0.249529	0.306056	0.0309985	0.23701	0.34797	0.017045	0.328637	0.0383392	12.7972
3220	-30525.7	-30463.2	-62.4893	0.210233	0.105945	1.31905	0.000743365	0.0398799	0.409835	3.54954	0.238108	0.252271	0.195745	0.243446	0.308537	0.0286501	0.237589	0.350119	0.0171503	0.330666	0.0358247	12.4504
3230	-30520.2	-30456.6	-63.5936	0.210233	0.0260116	0.341667	0.000743365	0.0398799	0.409835	3.54954	0.247179	0.250512	0.196206	0.244019	0.309263	0.0285358	0.238767	0.351855	0.0165367	0.332306	0.0319997	13.1352
3240	-30529.5	-30467.3	-62.2109	0.211749	0.034682	0.42601	0.000779132	0.0408164	0.41362	3.54478	0.243672	0.24984	0.195679	0.246048	0.308433	0.0280483	0.234688	0.345845	0.0162542	0.335065	0.0400995	12.2833
3250	-30529.1	-30464.9	-64.2539	0.211262	0.298037	4.26625	0.000767505	0.0405144	0.412405	3.54631	0.233386	0.256541	0.193931	0.24385	0.305677	0.027967	0.234008	0.344842	0.0158156	0.334093	0.0432745	14.3145
3260	-30527.5	-30462.7	-64.7564	0.213055	0.177447	2.59416	0.000810892	0.0416298	0.416863	3.5407	0.227493	0.256081	0.193584	0.245205	0.30513	0.031636	0.234973	0.346264	0.0172505	0.335472	0.0344038	14.6193
3270	-30532.2	-30468.7	-63.5047	0.219223	0.233784	3.32633	0.00097305	0.0455489	0.431946	3.52153	0.222511	0.246674	0.195824	0.248043	0.309459	0.0316109	0.234786	0.345989	0.0169384	0.335205	0.0354697	14.2282
3280	-30518.3	-30456.3	-62.0281	0.203702	0.0706961	0.848679	0.000602205	0.0359378	0.393249	3.57021	0.220786	0.246674	0.195824	0.248043	0.309459	0.0265764	0.242415	0.347785	0.0167867	0.332202	0.0342361	12.0046
3290	-30526.1	-30462.9	-63.17	0.205549	0.0708442	0.920749	0.000640038	0.0370369	0.397985	3.56434	0.223374	0.24415	0.19648	0.248874	0.310496	0.0251717	0.238819	0.358468	0.0165377	0.327275	0.0337284	12.9968
3300	-30529.4	-30465.2	-64.2194	0.202901	0.178045	2.05952	0.000586307	0.0354655	0.391186	3.57276	0.226789	0.243842	0.186355	0.248561	0.321241	0.0252438	0.245579	0.359494	0.0165851	0.319273	0.0338249	11.5674
3310	-30526.9	-30463.8	-63.1143	0.208115	0.0469398	0.475149	0.000695292	0.0385842	0.404503	3.55622	0.229289	0.250871	0.191727	0.25266	0.304743	0.0252565	0.245703	0.359676	0.0176111	0.317912	0.033842	10.1225
3320	-30532.4	-30467.9	-64.5079	0.210134	0.206551	2.37941	0.000741062	0.0398188	0.409586	3.54985	0.234697	0.252633	0.192573	0.251477	0.303316	0.0252698	0.245832	0.359865	0.0170936	0.31808	0.0338598	11.5197
3330	-30533.7	-30469	-64.6915	0.214091	0.196505	2.17278	0.000836733	0.0422795	0.419424	3.53746	0.22907	0.244935	0.192776	0.256558	0.305731	0.0275331	0.244358	0.357708	0.0169912	0.316173	0.0372374	11.0571
3340	-30523.2	-30461.7	-61.4874	0.208367	0.0664496	0.764471	0.000700896	0.0387375	0.40514	3.55542	0.217071	0.247079	0.194463	0.250051	0.308407	0.0297139	0.253819	0.351988	0.0167195	0.311117	0.036642	11.5045
3350	-30527.3	-30467.2	-60.0808	0.213881	0.0267464	0.286691	0.000831447	0.0421475	0.418906	3.53812	0.208873	0.248679	0.19129	0.250206	0.309825	0.0297176	0.253851	0.352033	0.0165958	0.311157	0.0366466	10.7189
3360	-30535.3	-30472.6	-62.737	0.217291	0.103595	1.08581	0.000920075	0.0443081	0.427264	3.52751	0.219526	0.251272	0.193284	0.242388	0.313056	0.0297176	0.253851	0.352033	0.0165958	0.311157	0.0366466	10.4813
3370	-30532.7	-30470.7	-61.9708	0.20909	0.152397	1.9986	0.000717153	0.0391789	0.406964	3.55314	0.223494	0.248679	0.191289	0.239886	0.320146	0.0300473	0.256667	0.355938	0.0155067	0.313592	0.0282478	13.1145
3380	-30529.7	-30466.9	-62.8216	0.205698	0.217739	2.76927	0.000643152	0.0371259	0.398364	3.56387	0.225754	0.2477	0.192323	0.242146	0.317831	0.0311971	0.25631	0.355443	0.0157844	0.313156	0.0281087	12.7183
3390	-30530.4	-30468.4	-61.9743	0.215385	0.0342726	0.366791	0.000869784	0.0430959	0.422608	3.53343	0.219224	0.245289	0.189615	0.25036	0.314737	0.0310165	0.254827	0.354284	0.015693	0.311343	0.0328368	10.7022
3400	-30535	-30473.5	-61.513	0.209128	0.0665886	0.727754	0.000718	0.0392018	0.407058	3.55302	0.215483	0.24777	0.189504	0.248173	0.314553	0.0350264	0.253521	0.352469	0.0165663	0.309749	0.0326686	10.9291
3410	-30532.1	-30470.8	-61.3347	0.207401	0.0115177	0.138654	0.000679597	0.0381513	0.402696	3.55847	0.215434	0.247461	0.189267	0.247863	0.315409	0.0376586	0.240321	0.336681	0.0171895	0.333026	0.0351236	12.0384
3420	-30535.6	-30472.8	-62.815	0.21455	0.0768541	0.81315	0.000848351	0.0425684	0.420555	3.53603	0.236027	0.256034	0.18359	0.246589	0.313787	0.028338	0.240581	0.337044	0.017208	0.344213	0.0326168	10.5804
3430	-30526.6	-30464.6	-62.0524	0.203484	0.078259	0.936394	0.000597859	0.0358094	0.39269	3.5709	0.22706	0.256034	0.18359	0.246589	0.313787	0.0287215	0.243836	0.340368	0.0174409	0.336575	0.0330582	11.9653
3440	-30524	-30461.5	-62.5287	0.205152	0.0816905	1.04982	0.000631772	0.0367997	0.39697	3.5656	0.221655	0.259918	0.184688	0.248063	0.307332	0.0333015	0.241294	0.336819	0.0165704	0.333065	0.0389506	12.8512
3450	-30524.7	-30462.3	-62.4314	0.208605	0.0933983	1.10142	0.000706219	0.0388826	0.405741	3.55467	0.225373	0.244614	0.190354	0.248272	0.31676	0.0330417	0.239411	0.330008	0.0164411	0.341563	0.0395349	11.7928
3460	-30523.9	-30460.1	-63.8014	0.202702	0.251757	3.31322	0.000582406	0.0353486	0.390673	3.5734	0.225508	0.267635	0.185236	0.238885	0.308243	0.0291183	0.235618	0.333508	0.0166155	0.345186	0.0399542	13.1604
3470	-30524.3	-30462.6	-61.7196	0.205528	0.0242617	0.276841	0.000639601	0.0370244	0.397932	3.5644	0.229661	0.253202	0.182261	0.255897	0.30864	0.0252772	0.236439	0.339855	0.0169317	0.351755	0.0297428	11.4106
3480	-30523.5	-30459.3	-64.1295	0.205859	0.08348	1.1564	0.000646551	0.0372228	0.398777	3.56335	0.228027	0.248555	0.183395	0.257489	0.31056	0.0252772	0.236439	0.339855	0.0169317	0.351755	0.0297428	13.8525
3490	-30525.7	-30464.3	-61.3237	0.213187	0.043168	0.506401	0.000814171	0.0417128	0.417191	3.54028	0.227437	0.245479	0.195405	0.244577	0.31454	0.0252416	0.236106	0.339376	0.0144951	0.351259	0.033522	11.731
3500	-30527.3	-30463.5	-63.723	0.204026	0.19055	2.71099	0.000608734	0.03613	0.394084	3.56918	0.235347	0.250409	0.179245	0.249489	0.320857	0.0251942	0.235662	0.338738	0.0144678	0.35053	0.0354082	14.2272
3510	-30527.9	-30463.4	-64.4852	0.208233	0.2116	3.17668	0.000697917	0.0386561	0.404802	3.55584	0.225118	0.247006	0.190397	0.246099	0.316497	0.0250661	0.234464	0.337016	0.0194771	0.348748	0.0352282	15.0127
3520	-30533.1	-30469.8	-63.326	0.206846	0.202447	2.78451	0.000667559	0.0378158	0.401287	3.56023	0.23277	0.249821	0.192566	0.237509	0.320104	0.0248424	0.26352	0.324573	0.01583	0.335872	0.035362	13.7543
3530	-30527.1	-30465	-62.1681	0.213566	0.0703853	0.87904	0.000823568	0.0419498	0.418128	3.5391	0.224796	0.260272	0.187741	0.239529	0.312459	0.0262067	0.249149	0.347522	0.0160185	0.317556	0.0435478	12.489
3540	-30529.4	-30466.4	-62.938	0.218452	0.151901	2.07975	0.000951677	0.0450526	0.430083	3.52391	0.229526	0.26038	0.196036	0.230995	0.312589	0.0301621	0.249493	0.342701	0.0160407	0.317995	0.043608	13.6915
3550	-30520.5	-30457.4	-63.1568	0.208416	0.14965	2.09122	0.000701991	0.0387674	0.405264	3.55527	0.225761	0.249366	0.183979	0.242058	0.324597	0.0301009	0.248987	0.342005	0.0180387	0.317349	0.0435194	13.974
3560	-30522.2	-30459.3	-62.9005	0.217123	0.139355	1.72716	0.000915573	0.044201	0.426856	3.52803	0.231506	0.245933	0.182439	0.25285	0.318777	0.0306271	0.25334	0.347984	0.018354	0.322897	0.0267983	12.3939
3570	-30519.9	-30456.7	-63.2127	0.220213	0.164251	2.22153	0.00100098	0.0461891	0.43433	3.51848	0.230314	0.241173	0.183591	0.254446	0.32079	0.0304327	0.251731	0.345775	0.0182375	0.320847	0.0329761	13.5252
3580	-30528.1	-30463.1	-64.9632	0.208179	0.238398	3.6782	0.000696712	0.0386231	0.404664	3.55602	0.21518	0.237755	0.200412	0.241853	0.31998	0.0304327	0.251731	0.345775	0.0182375	0.320847	0.0329761	15.4288
3590	-30530.8	-30467	-63.7468	0.219266	0.0755264	0.988551	0.000974242	0.0455764	0.432049	3.5214	0.226309	0.235908	0.195927	0.246181	0.321984	0.0272482	0.249262	0.355079	0.0180586	0.3177	0.0326526	13.0888
3600	-30530	-30467.3	-62.6918	0.209113	0.124039	1.43859	0.000717672	0.0391929	0.407022	3.55307	0.22054	0.257715	0.199058	0.243572	0.299656	0.0341249	0.245388	0.34956	0.0177779	0.312762	0.0403868	11.5979
3610	-30529.9	-30467.4	-62.4897	0.221437	0.00757176	0.083518	0.00103627	0.0469852	0.437265	3.51471	0.233034	0.253942	0.195051	0.23867	0.312338	0.0330162	0.24616	0.35066	0.0157269	0.313747	0.0406893	11.0302
3620	-30528.4	-30464.9	-63.5054	0.206762	0.116372	1.35848	0.000665761	0.0377654	0.401075	3.56049	0.234492	0.253942	0.195051	0.23867	0.312338	0.0330162	0.24616	0.35066	0.0157269	0.313747	0.0406893	11.6736
3630	-30523.2	-30459.2	-63.9669	0.212777	0.167372	2.01675	0.000804056	0.0414561	0.416174	3.54157	0.232923	0.2513	0.188936	0.250676	0.309088	0.0331009	0.239262	0.340833	0.0137529	0.333502	0.039549	12.0495
3640	-30522	-30457.9	-64.045	0.202996	0.119049	1.30437	0.000588181	0.0355215	0.391432	3.57246	0.226616	0.2513	0.188936	0.250676	0.309088	0.033386	0.23849	0.339734	0.0165422	0.332426	0.0394214	10.9566
3650	-30520.5	-30457.2	-63.3121	0.209771	0.119157	1.51537	0.000732685	0.0395958	0.408675	3.551	0.231834	0.255056	0.189331	0.247125	0.308488	0.033386	0.23849	0.339734	0.0165422	0.332426	0.0394214	12.7175
